抛弃,abandon
喂奶,allaiter
从……至……,allant,de,à
诱人的,alléchant
小路,allée
来来往往,allées,et,venues,pl
减轻,alléger
愉快,allégresse
引证,alléguer
德国,Allemagne
去,aller
适合于,aller,bien,à
单程,aller,simple
具有变态反应的,allergique,变态反应性的
来回程,aller-retour
联盟,alliance
使结盟,allier
喂,allô
讲话,allocution
延长的,allongé
延长,allongement
延长,allonger
点燃,allumer
火柴,allumette
步伐,allure
当时,alors
而……,alors,que
云雀,alouette
字母表,alphabet
口渴的,altéré
交替,alternance
海拔,altitude
恋人,amant
缆绳,amarre
业余的,amateur
氛围,ambiance
野心勃勃的,ambitieux
雄心,ambition
灵魂,âme
改善的,amélioré
改良,améliorer
罚款,amende
改良,amender
带来,amener
美国的,américain
美洲,Amérique
朋友,amî
石棉,amiante
友好地,amicalement
友谊,amitié
使柔软,amollir
引诱,amorcer
爱,amour
爱恋的,amoureux
自爱,amour-propre
楼厅,amphithéâtre
广阔,ampleur
扩音机,amplificateur
灯泡,ampoule
截去肢体的,amputé
护身符,amulette
使高兴,amuser
amuser自娱
逗大家开心的人,amuseur
年,an
类似的,analogue
文盲,analphabète
分析,analyser
始祖,ancêtre
古老的,ancien
驴子,âne
引起贫血,anémier
天使,ange
角,angle
苦恼,angoisse
焦急不安,angoîsser
动物画家,animalier
演出、旅游活动的安排人员,animateur
活跃,animation
热闹的,animé
使有生气,animer
万物有灵论,animisme
憎恶,animosité
编年史,annales,pl
环,anneau
年,année
学年,année,scolaire
周年,anniversaire
告示,annonce
宣布,annoncer
预告天晴,annoncer,du,soleil
电话簿,annuaire
每年的,annuel
宣布无效,annuler
微不足道的,anodin,止痛而无疗效的
不具名,anonymat
匿名的,anonyme
滑雪运动衫,anorak
南极洲,Antarctique
天线,antenne
电视二台,Antenne2
以前的,antérieur
,antériorité
提前,anticiper
古董商,antiquaire
防盗装置,antivol
八月,août
使平静,apaiser
瞥见,apercevoir
apercevoir意识到
开胃酒,apéritif
开胃的,apéritif
垂直,aplomb
寓言,apologue
出现,apparaître
机器,appareil
家用器具,appareil,ménager
配对,appareiller
传达,appariteur
出现,apparition
套房,appartement
附属,appartenance
属于,appartenir
召唤,appel
呼喊,appeler
打电话,appeler,au,téléphone
名叫,appeler
胃口,appétit
鼓掌,applaudissement
实行,application
运用,appliquer
带来,apport
带来,apporter
欣赏,apprécier
担心,appréhender
担心,appréhension
学,apprendre
学徒,apprenti
学习,apprentissage
矫揉造作的,apprêté
准备好,apprêter
驯服,apprivoiser
即将,approcher,de,u
靠近,approcher
加深,approfondir
同意,approuver
枕,appuie-tête
按,appuyer
在……以后,après
总之,après,tout
战后,après-guerre
下午,après-midi
合适的,apte
才能,aptitude
水彩画,aquarelle
鹰嘴似的,aquilin
朔风,aquilon
ranger处理,ar
蜘蛛,araignée
裁判员,arbitre
裁判,arbitrer
树,arbre
圣诞树,arbre,de,Noël
小灌木,arbuste
弓,arc
拱形物,arceau
考古学,archéologie
考古学家,archéologue
主牧师,archipretre
热情的,ardent
炽热,ardeur
斗牛场,arène,pl
货币,argent
积蓄,argent,de,côté
泥土,argile
切口,argot
理由,argument
论据,argumentation
干燥的,aride
武器,arme
部队,armée
空军,armée,de,l'aîr
武装,armer
衣橱,armoire
盔甲,armure
香味,arôme
英亩,arpent
拔掉,arracher
从某人手中抢走某物,arracher,qqch,
拨除者,arracheur
布置,arrangement
整理,arranger
逮捕,arrestation
公共汽车站,arrêt
阻止,arrêter
arrêter中断
停止做某事,arrêter,de,faire
延迟的,arriéré
后卫部队,arrière-garde
内地,arrière-pays
秋未,arrière-saison
到达,arriver
终于做某事,arriver,à,faire
自……来,arriver,de
某人遇到某事,arriver
野心家,arriviste
傲慢的,arrogant
区,arrondissement
浇水,arroser
艺术,art
朝鲜蓟,artichaut
文章,article
烟火,artifice
人造的,artificiel
手工业者,artisan
手工业,artisanat
艺术家,artiste
soupir使昏昏欲唾,as
电梯,ascenseur
上升,ascension
避难历心静处,asile
方面,aspect
aspirateur吸气的
向往,aspirer,à,indir
使卫生,assainir
被暗杀的,assassiné
攻击,assaut
集合,assemblage
集合,assembler
坐,asseoir
奴役,asservir
足够地,assez
勤勉的,assidu
assiégeant包围的
包围,assiéger
盆,assiette
assis坐着的
参加者,assistant
参加,assister
合伙,association
结合,associer
口渴的,assoiffé
使配合,assortir,t
展耳欲聋的,assourdissant
使吃饱,assouvir
从属,assujettissement
承担,assumer
保证,assurance
肯定的,assuré
保证,assurer
使某人确信……,assurer,qqn
强迫,astreindre
星相学者,astrologue
宇航员,astronaute
天文,astronomie
狡猾,astuce
机智的,astucieux
车间,atelier
无神论的,athée
田径运动的,athlétique
田径运动,athlétisme
大西洋,atlantique
大气,atmosphère
原子的,atomique
王牌,atout
新闻专员,attaché,de,presse
喜爱的,attaché
拴,attacher
攻击,attaquer
达到,atteindre
患病的,atteint
等侯,attendre
attendre预计
等待某人送某物,attendre,qqch,de,qqn
感动,attendrissement
恐怖事件,attentat
等候,attente
当心,attention
可减轻的,atténuant
减轻,atténuer
着陆,atterrissage
证明,attestation
attetitif
吸引力,attirance
吸引人的,attirant
吸引,attirer
煽动,attiser
态度,attitude
有吸引力的,attractif
吸引力,attraction
追上,attraper
迷人的,attrayant
授予,attribuer
授予,attribution
在海边,au,bord,de,la,mer
在尽头,au,bout
相反地,au,contraire
在……期间,au,cours,de
最初,au,début
总之,au,demeurant
损害……,au,détriment,de
实际上,au,fond
在……深处,au,fond,de,prê
阔绰地,au,large
不……而……,au,lieu,de
在远处,au,loin
在……中间,au,milieu,de
至少,au,moins
最迟,au,plus,tard
以……的观点,au,point,de,vue,de
当……回来时,au,retour,de
再见,au,revoir
以……的观点,au,service,de
当……回来时,au,surplus
在……期间,au,temps,de,prê
全部,au,total
拂晓,aube
小旅馆,auberge
没有一个,aucun,indé
大胆的,audacieux
在外边,au-dehors
在……之外,au-delà,de,prê
在下面,au-dessous
在上面,au-dessus
接见,audience
增长,augmentation
增加,augmenter
今天,aujourd'hui
施舍,aumône
以前,auparavant
在……旁边,auprès,de
曙光,aurore
听诊,ausculter
同样,aussi
马上,aussitôt
严峻的,austère
南方的,austral
同样,autant
同样多的,autant,de
祭坛,autel
作者,auteur
公共汽车,autobus
大客车,autocar
粘贴纸,autocollant
火刑,autodafé
自动的,automatique
秋天,automne
汽车,automobile
自治,autonomie
专横的,autoritaire
威严,autorité
高速公路,autoroute
在周围,autour
在……周围,autour,de
另外的,autre
否则,autrement
换言之,autrement,dit
奥地利,Autriche
鸵鸟,autruche
别人,autrui
圣诞节前的四星期,auvent
由……负担费用,aux,dépens,de,prê
雪崩,avalanche
吞食,avaler
超越,avance
吝裔,avance
前进,avancer
在做……以前,avant,deprê
好处,avantage
实物报酬,avantage,en,nature
给予方便,avantager
和……一起,avec,prê
明确地,avec,précision
将来,avenir
奇遇,aventure
冒险的,aventurier,ère
被证实,avérer
骤雨,averse
厌恶,aversion
通知过的,averti
报警,avertir
承认,aveu
瞎的,aveugle
瞎,aveuglement
飞机,avion
见解,avis
小心的,avisé
律师,avocat
有,avoir
有……要做,avoir,à,faire
与……打交道,avoir,affaire,à
对某物厌烦了
白做某事,avoir,beau,faire
另有更重要的事要做
有运气,avoir,de,la,chance
做某事有困难
胃口好,avoir,de,l'appétit
亨有……的权力,avoir,droit,à
de想要,avoir,envie
感到冷,avoir,froid
de看上去像在做某事,avoir,l'air
有选择余地,avoir,le,choix
说了算数,avoir,le,dernier,mot
有权做某事,avoir,le,droit,de
有幸……,avoir,le,plaisir,de
时间宽裕,avoir,le,temps
有……的习惯,avoir,l'habitude,de
以……的荣幸,avoir,l'honneur,de
发生,avoir,lieu
想做某事,avoir,l'intention,de
有……的好处,avoir,l'intérêt,de
(身体某处）疼,avoir,mal,à
亿及,avoir,souvenance,de
错了,avoir,tort
偏爱,avoir,un,faible,pour
更喜爱
有道理,avoiT,raison
流产,avorter
承认,avouer
四月,avril
轴,axe
爱絮叨的,babillard
中学毕业会考,bac
草率地做,bâcler
细菌,bactérie
爱闲逛的人,badaud
胸牌,badge
石灰浆,badigeon
扮刷,badigeonner
chose,avoir,assez,d'une
fouetter,avoir,d'autres,chats,à
qqch,avoir,de,la,peine,à,faire
pour,avoir,une,préférence
行李,bagage
搬行李工,bagagiste
打群架,bagarre
打架,bagarrer
戒指,bague
长棍面包,baguette
小海湾,baie
洗澡,baignade
浸泡,baigner
沉浸在……之中,baigner
baigner洗海水浴
浴缸,baignoire
租约,bail
压制言论,bâilloner
洗澡,bain,m
海水浴,bains,de,mer
下降,baisse
落下,baisser
舞会,bal
闲逛,balade
扫帚,balai
结结巴巴地说,balbutier
鲸,baleine
废话,baliverne
子弹,balle
球,ballon
海水浴的,balnéaire
棍,bâlon
竹子,bambou
平凡的,banal
使变得平凡,banaliser
香蕉,banane
长凳,banc
带,bande
连环面,bande,dessinée
横幅标语,banderole
郊区,banlieue
驱逐出境,bannir
银行,banque
宴会,banquet
软垫长椅,banquette
银行家,banquier
大浮冰,banquise
给……题名,baptiser
酒吧,bar
木板房,baraque
花言巧语,baratin
胡子,barbe
理发师,barbier
弄脏,barbouiller
巴塞罗那,Barcelone
花里胡哨的,bariolé
酒吧侍者(招待）,barman
异样的,baroque
小船,barque
杠,barre
小棒,barreau
路障,barricade
栅栏,barrière
低的,bas
基础,base
低地,bas-fonds
蛇怪,basilic
大教堂,basilique
篮球,basket-ball
卑鄙的行为,bassesse
水池,bassin
城堡,bastide
战斗,bataille
好争执的(人）,batailleur
军队,bataillon
船,bateau
游览观光船,bateau-mouche
船夫（妇),batelier,,ère
楼房,bâtiment
建筑,bâtir
拍击,battement
打击乐器,batterie
脱粒机,batteuse
打破记录,battre
驴,baudet
话多的,bavard
聊天,bavarder
beau美丽的
很多,beaucoup
公婆,beaux-parents,pL
婴儿,bébé
晓,bec,mm
锹,bêche
贝多芬,Beebtboven
口吃,bégayer
茄子馅炸糕,beignet,d'aubergine
比利时的；比利时人,belge
比利时法语特有的词和表达方式,belgicisme
比利时,belgique
嫂子,belle-soeur
利润,bénéfice
得到好处,bénéficier
享受……,bénéficier,de
自愿者,bénévole
祝圣过的,bénit
羊圈,bercail
摇篮,berceau
摇动,bercer
岁,berge
牧羊人,berger,,ère
羊舍,bergerie
齐膝短裤,bermuda
愚弄,berner
男活,besogne
需要,besoin
兽类,bête
愚矗,bêtise
混凝土,béton
甜菜,betterave
黄油,beurre
涂黄油的,beurré
小摆设,bibelot
奶瓶,biberon
圣经,Bible
珍本收藏者,bibliopbile
图书馆,bibliothèque
自行车,bicyclette
财产,bien
好,bien
受到良好教育的,bien,élevé
当然了,bien,entendu
尽管,bien,que
当然,bien,sûr
当然不是了,bien,sûr,que,non
当然是了,bien,sûr,que,oui
善行,bienfait
行善的,bienfaiteur
合法理由,bien-fondé
不久,bientôt
bienveillant仁慈的
欢迎,bienvenue
啤酒,bière
牛排,bifteck
牛排薯条,bifteck-frites
首饰,bijou
珠宝店,bijouterie
小结,bilan
两侧对称地,bilatéralement
胆汁,bile
门票,billet
班科彩票,bingo
传记,biographie
生物学,biologie
天然的,biologique
两足的,bipède
面包干,biscotte
北风,bise
小餐馆,bistrot
奇怪的,bizarre
玩笑话,blague
说笑话,blaguer
白色的,blanc
漂白,blanchir
洗衣房,blanchisserie
洗烫衣服的工人,blanchisseur
白汁肉,blanquette
小麦,blé
灰白的,blême
变成灰白,blêmir
使受伤,blesser
伤口,blessure
蓝色的,bleu
有抵抗力,blindé
居民点,bloc
金黄色的,blond
冻结,bloquer
工作罩衣,blouse
茄克衫,blouson
牛,boeuf
喝,boire
树林,bois
饮料,boisson
盒子,boîte
罐头,boîte,de,conserve
夜总会,boîte,de,nuit
邮箱,boîte,postale
股的,boiteux
碗,bol
轰炸,bombardement
炸弹,bombe
请多吃点,bon,appétit,exprè
祝好运,bon,courage,exprè
上帝,bon,Dieu
便宜的,bon,marché
好的,bon
幸运,bonbeur
糖果,bonbon
挤得满满的,bondé
跳跃,bondir
分红利,bonifier
吹牛；牛皮,boniment
您好,bonjour
女仆,bonne
边缘,bord
波尔多葡萄酒,bordeaux
围绕,border
边界,bornes,pl
植物学（的）,botanique
靴子,botte
靴子,bottes,pl
公山羊,bouc
嘴,boucbe
肉店老板,boucber,ère
一口,bouchée
肉食店,boucherie
带扣,boucle
耳环,boucle,d'oreille
盾,bouclier
佛教,bouddhisme
佛教徒,bouddhiste
与……赌气,boudeT
一口,bouffée
移动,bouger
蜡烛,bougie
普罗旺斯鱼汤,bouillabaisse
沸腾,bouillir
水泡,bouillon
沸腾,bouillonner
面包师,boulanger,,ère
面包店,boulangerie
球,boule
样树,bouleau
大街,boulevard
乱七八糟的（场地）,bouleversé
骚乱,bouleversement
弄乱,bouleverser
工作,boulot
花束,bouquet
书,bouquin
旧书商,bouquiniste
有产者,bourgeois
布尔戈涅地区,Bourgogne
布尔戈涅地区印,bourguignon
装填,bourrer
奖学金,bourse
弄乱,bousculer
端部,bout
酒瓶,bouteille
商店,boutique
钮扣,bouton
扣钮扣,boutonner
手镯,bracelet
旧货集市,braderie
火炭,braise
树枝,branche
联接,brancher
凝视,braquer
臂,bras
钎焊,brassage
蛙泳,brasse
酿造,brasser
啤酒厂,brasserie
勇敢的,brave
顶撞,braver
好,bravo
母羊,brebis
缺口,brèche
简而言之,bref
简短的,bref,,ère
布列塔尼（地区）,Bretagne
背带,bretelle
布列塔尼的,breton
碎片,bribe
干家务琐事,bricolage
系,brider
简短地,brièvement
强盗,brigand
出色地,brillamment
闪光的,brillant
发光,briller
砖,brique
打火机,briquet
微风,brise
断裂的,brisé
碎裂,briser
小铁扦,brochette
小册子,brochure
刺绣,broder
青铜,bronze
古铜色的,bronzé
晒黑,bronzer
独轮车,brouette
雾,brouillard
变模糊,brouiller
声音,bruit
燃烧的,brûlant
烧,brûler
有雾的,brumeux
褐色的,brun
粗暴的,brusque
粗暴地,brusquement
粗暴的,brutal
野兽,brute
bruyant喧闹的
预算,budget
水气,buée
碗橱,buffet
水牛,buffle
灌木丛,buisson
气泡,bulle
公报,bulletin
办公室,bureau
汉堡包王快餐连锁店,burgerking
滑稽可笑的,burlesque
目标,but
战利品,butin
c~d,字母
个单词,共,1404
这看上去能行,ça,a,l'air,d'aller
看情况,ça,dépend
多少钱,ça,fait,combien
没关系,ça,ne,fait,rien
……没有关系,ça,ne,fait,rien,que
没这样的习惯,ça,ne,se,fait,pas
这真香,ça,sent,bon
这足够了,ça,suffit
行,ça,va
好了,ça,y,est
诡计,cabale
简陋的小屋,cabane
小房间,cabine
工作间,cabinet,de,travail
可可粉,cacao
开司米,cacbemire
单人囚室,cacbot
藏匿,cacher
偷偷地,cachette»
死尸,cadavre
礼物,cadeau
较年幼的,cadet
钟面,cadran
干部,cadre
婶蝴,cafard
咖啡,café
奶油咖啡,café,crème
鸟笼,cage
本子,cahier
碎石,caillou
收款台,caisse
储蓄银行,caisse,d'épargne
收款员,caissier,,ère
哄,cajoler
钙质的,calcaire
计算,calcul
计算,calculer
历法,calendrier
月历,calendrier,lunaire
笔记本,calepin
安静的,calme
平静,calme
使平静,calmer
恶意中伤,calomnie
无边圆帽,calotte
苦痛,calvaire
同志,camarade
污油,cambouis
侵入……,cambrioler
摄影机,caméra
卡车,camion
小型卡车,camionnette
衬衫,camisole
装扮,camoufler
营地,camp
集中营,camp,de,concentration
平原,campagne
扎营,camper
野营,camping
加拿大,Canada
加拿大人,canadien
恶棍,canaille
运河,canal
长沙发,canapé
鸭子,canard
金丝雀,canari
散布流言蜚语,cancaner
候选人,candidat
候选人资格,candidature
伏天的,caniculaire
伏天,canicule
手杖,canne
甘蔗,canne,à,sucre
大炮,canon
小船,canot
食堂,cantine
角落,canton
生橡胶,caoutchouc
头部,cap
能够……的,capable
能力,capacité
船长,capitaine
主要的,capital
资本主义,capitalisme
某个大厦作为政治中心的象征,Capitole
防护罩,capot
任性,caprice
任性的,capricieux
俘获,captiver
捕捉,capturer
因为,car
特点,caractère
特点,caractéristique
长颈玻璃瓶,carafe
旅行挂车,caravane
炭化,carboniser
碳氢燃料,carburant
cardinal基本的
货船,cargo
漫画,caricature
笔记本,carnet
支票簿,carnet,de,chèques
邮票册,carnet,de,timbres
胡萝卜,carotte
胡萝卜丝,carottes,râpées,pl
正方形,carré
方砖地,carreau
十字路口,carrefour
方砖贴面,carrelage
生涯,carrière
野心家,carriériste
四轮华丽马车,carrosse
车身,carrosserie
华丽马车的制造者,carrossier
肩宽,carrure
书包,cartable
地图,carte
酒单,carte,des,vins
身份证,carte,d'identité
纸板,carton
情况,cas
瀑布,cascade
品行不端的,cascadeur
小屋,case
兵营,caserne
犯罪记录档案室笼子,casier
安全帽,casque
带沿便帽,casquette
被弄断的,cassé
容易摔交的地方,casse-cou
压碎,casser
失败,casser,le,cou
撞断,casser
有柄平底锅,casserole
盒式录音带,cassette
目录,catalogue
将……编成目录,cataloguer
激变,catasclysme
自然灾害,catastrophe,naturelle
灾难性的,catastrophique
范畴,catégorie
将……分类,catégoriser
教堂,cathédrale
天主教,catholicisme
天主教的,catholique
恶梦,cauchemar
原因,cause
为一件诉讼案辩护,cause,une
引起,causer
地下室,cave
洼路,cavée
岩穴,caverne
鱼子酱,caviar
这个,ce
盲,cécité
让,céder
围绕,ceindre
皮带,ceinture
一钱不值
著名的,célèbre
举行,célébrer
天的,céleste
独身者,célibataire
这个,celle
这些个,celles
单人小室,cellule
这个,celui
灰烬,cendre
被认为…的,censé
指责,censure
指责,censurer
百来个,centaine
中心,central
中央的,central
发电站,centrale
集中化,centralisation
中部,centre
娱乐中心,centre,de,loisirs
市中心,centre-ville
中间派的,centristre
但是,cependant
陶瓷的,céramique
圆圈,cercle
家庭园子,cercle,familial
棺材,cercueil
谷物,céréales,pl
仪式,cérémonie
鹿,cerf
pipette,cela,ne,vaut,pas,une
樱桃,cerise
包围,cerner
确实的,certain
肯定地,certainement
的确,certes
证明,certifier
确实性,certitude
大脑,cerveau
很遗憾的是……,c'est,dommage,de
说定了,c'est,promis
这些个,ceux
参照,,参考
各有所好,chacun,son,goût
各人,chacun,indé
激怒,chagrin
喧嚷,chahuter
流水线,chaîne
麦克唐纳快餐连锁店,chaîne,de,McDonald's
装配线,chaîne,de,montage
山脉,chaîne,de,montagnes
肌肤,chair
椅子,chaise
热,chaleur
热情的,chaleureux
用拖网的渔民,chalutier
争吵,chamailler
房间,chambre
贴身女仆,chambrière
骆驼,chameau
香槟地区,Champagne
香槟酒,Champagne
田野的,champêtre
冠军,champion
锦标赛,championnat
运气,chance
蹒跚,chanceler
蜡烛,chandelle
变化,changement
换,changer
改变了……,changer,de
歌曲,chanson
歌唱家,chanteur
工地,chantier
歌手,chantre
帽子,chapeau
小教堂,chapelle
面包粉,chapelure
章节,chapitre
谴责,chapitrer
每个,chaque
难懂的话,charabia
木炭,charbon
熟肉食品店,charcuterie
猪肉两,charcutier,ère
负担,charge
充满的,chargé
小推车,chariot
江湖医生,charlatan
迷人的,charmant
魔力,charme
肉体的,charnel
屋架,charpente
梨,charrue
打猎,chasse
围猎,chasse,à,courre
你来我往对调,chasse-croisé
打猎,chasser
女猎人,chasseresse
有眼屎的,chassieux
猫,chat
栗色的,châtain
淡褐色,châtain,clair
城堡,château
惩罚,châtier
惩罚,châtiment
去势的,châtré
热的,chaud
锅炉,chaudière
加热,chauffage
烧柴油的取暖设备,chauffage,au,mazout
烧热,chauffer
汽车司机,chauffeur
小屋,chaumière
马路,chaussée
便鞋,chaussons
鞋子,chaussure
秃的,chauve
蝙蝠,chauve-souri,s
首长,chef
厨师长,chef,de,cuisine
前厅的侍应领班,chef,de,rang
杰作,chef-d'oeuvre
道路,chemin
铁路,chemin,de,fer
壁炉,cheminée
衬衫,chemise
短袖衬衣,chemisette
女式长袖衬衫,chemisier
橡树,chêne
毛虫,chenille
支票,chèque
邮政支票,chèque,postal
亲爱的,cherère
寻找,chercher
力图做……,chercher,à,faire
研究人员,chercheur
心爱的,chéri
钟爱,chérir
体弱的,chétif
马,cheval
骑士的,chevaleresque
支架,chevalet
骑士,chevalier
毛发,chevalure
头发,cheveux
头发向后梳的,cheveux
踝骨,cheville
山羊,chèvre
在……家里,chez
漂亮极了,chic
诡辩,chicaner
狗,chien
看门狗,chien,de,garde
鲨鱼,chien,de,mer
颈背,chignon
离异怪物,chimère
空想的,chimérique
化学,chimie
中国的,chinois
偷窃,chiper
外科医生,chirurgien
冲击,choc
巧克力,chocolat
卖巧克力的,chocolatier,ère
合唱队,choeur
挑选,choisir,v*￡r
选择,choix,rnm
失业,chômage
冒犯的,choquant,adjr
合唱的,choral
事物,chose
卷心菜,chou,n*
漂亮的．可爱的,chouette
基督教的,chrétien
基督教,christianisme
染色体,chromosome
长期的,chronique
编年学,chronologie
按年代编的,chronologique
菊花,chrysanthème
低语,chuchoter
喝倒彩,chuler
跌落,chute
此后,ci-après,ad-u*
圣体盒,ciboire,m+
对面,ci-contre,loctadv*
苹果酒,cidre
天,ciel,m*
大蜡烛,cierge
蝉,cigale
香烟,cigarette,f>
目标,cihle
确定……目标、对象,cihler
此附,ci-joint,loc*
睫毛,cil
顶峰,cime
墓地,cimetière,rnt
电影,cinéma
电影爱好者,cinéphile
五十左右,cinquantaine
被梳理的,Cioffé,717
情况,circonstance
周围,circuit
交通,circulation
传播,circuler,z*tt
蜡,cire
上蜡,cirer
马戏场,cirque
城市的,citadin
城市,cité
大学城,cité,universitaire
例举,citer
市民,citoyen
文化,civilisation
有文化的,civilisé
月光,clair,de,lune
明亮的,clair
军号,clairon
氏族,clan
地下的,clandestin
发出啪啪声,claquer
光明,clarté
班级,classe
中产阶级,classe,moyenne
名次,classement
整理,classer
文件夹,classeur
古典的,classique
句子,clause
合同条款,clause,du,contrat
键盘,clavier
钥匙,clefé
细皮小柑橘,clémentine
教士,clerc
教士,clergé
顾客,client
顾客,clientèle
闪烁的,clignotant
气候,climat
气候的,climatique
有空气调节设备,climatisé
私立诊所,clinique
流浪者,clochard
钟,cloche
关闭,clore
园地,clos
钉子,clou
俱乐部,club
可口可乐,coca,cola
帽徽,cocarde
划线,cocher
能通车辆的大门,cochére
猪,cochon
滚球游戏用的小球,cochonnet
鸡尾洒,cocktail
椰子树,cocotier
代码,code
心脏,coeur
共存,coexister
箱,coffre
思考,cogitation
思考,cogiter
敲,cogner
协调的,cohérent
步兵大队,cohorte
嘻杂的人群,cohue
给梳头,coiffer
理发师,coiffeur
发型,coiffure
角落,coin
巧合,coïncidence
脖子,col
愤怒,colère
易怒的,coléreux
合作者,collaborateur
合作,collaboration
点心,collation
胶水,colle
收集,collectionner
收藏者,collectionneur,
社团,collège
同事,collègue
贴,coller
衣领,collet
项链,collier
山冈,colline
对撞,collision
讨论会,colloque
同楼房客,colocataire
鸽子,colombe
移民,colonie
殖民,coloniser
柱,colonne
有色彩的,coloré
着色,colorer
巨人般的,colossal
战斗,combat
战斗,combattre
多少,combien
联合,combinaison
巧计,combine
组合,combiner
顶点,comble
装满,combler
可燃的,combustible
燃烧,combustion
喜剧,comédie
慧星,comète
评述,cominentaire
逗人的,comique
委员会,comité
订货,commande
定购,commander
多么地,comme
好像,comme
像平常一样,comme,d'habitude
开始,commencer
如何,comment
注释,commenter
说长道短,commérage
经商的,commerçant
商业,commerce
商业的,commercial
商品化,commercialisation
教母,commère
犯,commettre
职员,commis
持派员,commissaire
拍卖估价人,commissaire-priseur
警察分局,commissariat
方便的,commode
方便地,commodément
共同的,commun,
共同体,communauté
市镇,commune
巴黎公社,Commune,de,Paris
一般地,communément
交流,communication
交流,communiquer
共产主义,communisme
compact紧密的
公司,compagnie
同伴,compagnon
可比较的,comparable
比较,comparer
车厢,compartiment
同情的,compatissant
同胞,compatriote
补偿,compenser
竞争,compétition
补充的,complémentaire
完全的,complet,,ète
完成,compléter
复杂的,complexe
同谋的,complice
复杂的,compliqué
使复杂化,compliquer
密谋,comploter
行为,comportement
允许,comporter,t
复合的,composé
组成,composer
作曲家,compositeur
作文,composition
用打票机打票,composter
可理解的,compréhensible
理解力,compréhension
懂得．明白,comprendre
压缩,compression
药片,comprimé
包括在内的,compris
会连累人的,compromettant
连累,compromettre
妥协,compromis
会计,comptable
