算盘,abacus
轮轴,axle
说蠢话,babble
狂欢会,bacchanal
狂欢的,bacchanalian
熏猪肉,bacon
细菌,bacteria
徽章,badge
獾,badger
使困惑,baffle
令人困惑的,baffling
诱饵,bait
秃头的,bald
大包裹,bale
邪恶的,baleful
歌谣,ballad
压舱物,ballast
芭蕾舞女演员,ballerina
大午厅,ballroom
香油,balm
温和的,balmy
陈腐的,banal
陈腐,banality
祸根,bane
有害的,baneful
栏杆,banister
破产的,bankrupt
破产,bankruptcy
旗帜,banner
倒钩,barb
有倒钩的,barbed
野蛮的,barbarous
残忍,barbarity
烤肉架,barbecue
平底货船,barge
狗吠,bark
谷仓,barn
气压计,barometer
大财主,baron
高度装饰的,baroque
不孕的,barren
设栅阻挡,barricade
路障,barrier
以物易物,barter
害羞的,bashful
晒太阳,bask
低音管,bassoon
倒脂油于,baste
指挥棒,baton
廉价珠宝,bauble
铝土岩,bauxite
大叫,bawl
集市,bazaar
信号灯,beacon
大梁,beam
心跳,beat
搅拌器,beater
祝福的,beatific
至福,beatitude
海狸,beaver
弄湿的,bedraggled
甜菜,beet
产生,beget
吝啬,begrudge
欺骗,beguile
欺骗的,beguiling
目睹,behold
目睹者,beholder
做或说,belabour
围攻,beleaguer
掩饰,belie
轻视,belittle
好战的,bellicose
交战的,belligerent
所有物,belongings
祝福,benediction
行善者,benefactor
有益的,beneficial
受惠者,beneficiary
慈善的,benevolent
善心,benevolence
慈祥的,benign
温和,benignity
遗赠,bequeath
遗产,bequest
猛烈责骂,berate
丧亲,bereave
狂怒的,berserk
祈求,beseech
围攻,besiege
显示,bespeak
给予,bestow
背叛,betray
水,beverage
一群,bevy
文献学,bibliography
高度吸收的,bibulous
分为二支,bifurcate
宗教,bigot
顽固,bigotry
胆汁,bile
多胆汁的,bilious
两种语言的,bilingual
桦树,birch
生命层,biosphere
奇异的,bizarre
敲诈,blackmail
刀锋,blade
使变白,blanch
情绪平稳的,bland
甘言劝诱,blandishments
高声鸣叫,blare
亵渎,blasphemy
对神不敬的,blasphemous
喧哗的,blatant
露天座位,bleachers
损害,blemish
祝福,bless
百页窗,blinds
植物枯萎病使⋯枯萎,blight
快乐的,blithe
暴风雪,blizzard
肿胀的,bloated
封锁,blockade
红斑点,blotch
自吹自擂者,blowhard
预示,bode
保镖,bodyguard
畏缩不前,boggle
假装的,bogus
喧闹的,boisterous
螺栓,bolt
脱离的,bolted
高调,bombast
唱高调的,bombastic
圆帽,bonnet
举止粗野的人,boor
粗野的,boorish
往上推,boost
支持者,booster
钻孔,bore
植物学,botany
植物的,botanical
n化妆室,boudoir
巨石,boulder
慷慨的,bounteous
花束,bouquet
一回合,bout
牛的,bovine
凉亭,bower
抵制,boycott
使稳固,brace
故作勇敢,bravado
争吵,brawl
强壮的,brawny
无耻的,brazen
毁坏,breach
辉煌的,brilliant
边,brim
边沿,brink
开瓶,broach
溴化物,bromide
支气管炎,bronchitis
容忍,brook
吃嫩叶或草,browse
唐突的,brusque
野兽,brute
残忍的,brutal
残酷,brutality
乡村的,bucolic
移动一点,budge
臭虫,bug
轻型马车,buggy
植物的球茎,bulb
膨胀,bulge
金条,bullion
欺负,bully
堡垒,bulwark
说话含糊,bumble
汽车前后的保险杆,bumper
浮标,buoy
浮力,buoyancy
易浮的,buoyant
官僚政治,bureaucracy
迅速成长,burgeon
讽刺或滑稽的戏剧,burlesque
擦亮,burnish
所掘的地洞,burrow
半身像,bust
扶墙,buttress
体态丰满的,buxom
报刊文章首行,byline
规避,bypass
刺耳的声音,cacophony
仙人掌,cactus
尸体,cadaver
像尸体的,cadaverous
军校或警官学校的学生,cadet
哄骗,cajole
大灾祸,calamity
造成灾祸的,calamitous
使硬化,calcify
钙,calcium
深谋远虑的,calculating
口径,calibre
量⋯口径,calibrate
书法,calligraphy
结硬块的,callous
老茧,callus
未生羽毛的,callow
诽谤,calumny
诽谤,calumniate
掩饰,camouflage
谣言,canard
金丝雀,canary
犬的,canine
候选人的资格,candidature
食人者,cannibal
同类相食,cannibalism
经典,canon
符合规定的,canonical
蚊帐,canopy
斜坡,cant
脾气坏的,cantankerous
清唱剧,cantata
峡谷,canyon
容量大的,capacious
容量,capacity
雀跃,caper
人头税,capitation
投降。,capitulate
投降,capitulation
变化无常的,capricious
吹毛求疵的,captious
迷惑,captivate
吸引力,captivation
甲壳,carapace
克拉,carat
倾斜,careen
加字符号∨,caret
讽刺画,caricature
大屠杀,carnage
康乃馨,carnation
狂欢节,carnival
食肉动物,carnivore
食肉的。,carnivorous
赞美诗,carol
狂饮寻乐,carouse
欢闹的酒宴,carousal
腐肉,carrion
绘制地图者,cartographer
雕刻,carve
小瀑布,cascade
社会等级,caste
惩治,castigate
申斥,castigation
剧变,cataclysm
催化剂,catalyst
催化作用,catalysis
无条件的,categorical
类别,category
毛虫,caterpillar
宣泄,catharsis
泻药,cathartic
广泛的,catholic
政党高层会议,caucus
填塞使不渗水,caulk
腐蚀性的,caustic
骑兵队,cavalcade
骑士,cavalier
骑兵部队,cavalry
大洞穴,cavern
洞腔,cavity
挑毛病,cavil
割让土地,cede
割让,cession
有名的,celebrated
名人,celebrity
快速,celerity
天体的,celestial
独身者,celibate
独身,celibacy
地下室酒窖．,cellar
坟墓,cemetery
检查,censor
检查,censorship
吹毛求疵的,censorious
责难,censure
离心的,centrifugal
向心的,centripetal
头的,cephalic
陶器,ceramics
谷类,cereal
大脑的,cerebral
用脑,cerebration
大脑,cerebrum
中止,cessation
谷物的皮壳,chaff
失望,chagrin
失望的,chagrined
变色龙,chameleon
枝形吊灯,chandelier
混乱,chaos
混乱的,chaotic
描绘刻画,characterization
用动作等表演的字谜游戏,charades
领袖气质,charisma
有魅力的,charismatic
仁慈,charity
仁慈的宽厚的,charitable
江湖郎中,charlatan
执照,charter
小心的,chary
雕镂,chase
底盘,chassis
贞洁的,chaste
贞节,chastity
改正磨练,chasten
严厉惩罚,chastise
沙文主义,chauvinism
猎豹,cheetah
欺诈,chicanery
叱责,chide
神话怪物,chimera
荒诞不经的,chimerical
花粟鼠,chipmunk
手相术,chiromancy
唧唧叫,chirp
武士精神的,chivalrous
骑士制度,chivalry
易怒的,choleric
突然改变方向,chop
舞蹈,choreography
开心地笑,chortle
歌唱队,choir
合唱队,chorus
彩色的,chromatic
染色体,chromosome
精密计时器,chronometer
菊,chrysanthemum
轻声地笑,chuckle
短厚木头,chunk
矮胖的,chunky
粗鄙之人,churl
脾气暴躁的,churlish
苹果酒,cider
余烬,cinder
零,cipher
迂回的,circuitous
迂回累赘的陈述,circumlocution
限制,circumscribe
慎重的,circumspect
用计谋战胜,circumvent
贮水池,cistern
平民,civilian
彬彬有礼,civility
超人的洞察力,clairvoyance
蛤,clam
吵闹喧哗,clamour
吵闹的,clamorous
钳子,clamp
秘密的,clandestine
排他的,clannish
铃舌,clapper
解释,clarification
清楚,clarity
冲突,clash
分类,classify
分类,classification
劈开,cleave
切肉刀,cleaver
裂缝,cleavage
裂缝,cleft
仁慈的,clement
仁慈,clemency
握紧,clench
钉牢,clinch
常客,clientele
朋党派系,clique
修道院,cloister
隐居的,cloistered
关闭,closure
凝块,clot
大暴雨,cloudburst
生腻,cloy
甜得发腻的,cloying
笨拙的,clumsy
串,cluster
凝结,coagulate
凝结剂,coagulant
联合,coalesce
结合,coalition
哄诱,coax
补鞋匠,cobbler
强迫,coerce
强制,coercion
保险箱,coffer
有说服力的,cogent
说服力,cogency
慎重思考,cogitate
思考,cogitation
同词源的,cognate
姓,cognomen
连贯的,coherent
凝聚的,cohesive
内聚力,cohesion
巧合,coincide
巧合,coincidence
滤器,colander
拼贴画,collage
对照,collate
校勘,collation
平行的,collateral
碰撞,collide
碰撞,collision
串通,collude
勾结,collusion
学术讨论会,colloquium
巨大的,colossal
巨人,colossus
小雄驹,colt
放浪不拘的,coltish
昏迷状态,coma
昏迷的,comatose
易燃的,combustible
燃烧,combustion
动人的,comely
戒律,commandment
开始,commence
开始,commencement
称赞,commend
值得称赞的,commendable
同样大小的,commensurate
同情,commiserate
承诺,commitment
宽敞的,commodious
商品,commodity
骚动,commotion
结实的,compact
同情,compassion
有同情心的,compassionate
和谐共处的,compatible
和谐共处,compatibility
强迫,compel
引起兴趣的,compelling
姓名,compellation
简要,compendium
简洁的,compendious
补偿,compensate
汇集,compile
自满的,complacent
自满,complacency
顺从的,complaisant
迁就,complaisance
肤色,complexion
服从的,compliant
服从,compliance
遵循,comply
恭维,compliment
赞赏的,complimentary
举止,comport
举止,comportment
拼凑成的,composite
镇静,composure
全面的,comprehensive
压缩,compress
压缩机,compressor
妥协,compromise
压力,compulsion
难以抑制的,compulsive
强制性的,compulsory
懊悔,compunction
计算,compute
计算,computation
连结,concatenate
连结,concatenation
凹的,concave
承认,concede
让步,concession
自负,conceit
自负的,conceited
怀孕,conceive
想像得出的,conceivable
协奏曲,concerto
安抚,conciliate
安慰,conciliation
简洁的,concise
简明,concision
调制,concoct
调配,concoction
伴随而来的,concomitant
和睦,concord
和谐的,concordant
同时发生的,concurrent
脑震荡,concussion
极力谴责,condemn
谴责,condemnation
屈尊,condescend
自以为高人一等,condescension
调味品,condiment
吊唁,condolence
有助于⋯的,conducive
甜食,confection
吐露,confide
轮廓,configuration
没收,confiscate
建筑物或森林大火,conflagration
合并,conflate
合流,confluence
面临,confront
对抗,confrontation
凝结,congeal
意气相投的,congenial
先天的,congenital
充血,congest
充血,congestion
集聚,conglomerate
聚集,congregate
集合在一起的群众,congregation
全等的,congruent
全等,congruity
针叶树,conifer
推测,conjecture
变魔术,conjure
魔术师,conjurer
默许,connive
共谋,connivance
鉴赏家,connoisseur
言外之意,connotation
有含意的,connotative
血亲,consanguinity
征兵,conscript
产生后果的,consequential
温室,conservatory
托运,consign
托运,consignment
安慰,console
安慰,consolation
巩固,consolidate
概要,conspectus
显著的,conspicuous
阴谋,conspire
阴谋,conspiracy
阴谋者,conspirator
星座,constellation
大为吃惊,consternation
成份,constituent
解释,construe
完全的,consummate
达到极点,consummation
传染,contagion
传染的,contagious
深思,contemplate
沉思,contemplation
轻视,contempt
令人轻视的,contemptible
争论,contention
好辩的,contentious
接近的,contiguous
邻近,contiguity
克制的,continent
节制克制力,continence
意外的,contingent
意外事件,contingency
扭曲,contort
扭曲,contortion
契约,contract
收缩,contraction
违背法规,contravene
违法,contravention
悔罪的,contrite
悔罪,contrition
计划,contrive
不自然的,contrived
争论,controversy
反驳,controvert
抗命,contumacy
违抗的,contumacious
无礼,contumely
无礼的,contumelious
谜语,conundrum
康复,convalesce
病后康复期,convalescence
陈规陋习,conventionality
会聚,converge
精通的,conversant
使改变改变信仰的人,convert
转变,conversion
可转换的,convertible
肉体的,corporal
团体的,corporate
肥胖的,corpulent
肥胖,corpulence
凸出的,convex
定罪,convict
判罪,conviction
欢乐的,convivial
召集会议,convoke
召集,convocation
旋绕的,convoluted
护航,convoy
使震动,convulse
骚动,convulsion
笼栏,coop
丰富的,copious
版权,copyright
警戒线,cordon
短号．圆锥形蛋卷,cornet
象征丰收的羊角,cornucopia
平谈无奇的,corny
全集,corpus
血球,corpuscle
畜栏,corral
相关的事物,correlate
符合的,correspondent
支持或证实,corroborate
证实,corroboration
起波浪形,corrugate
波浪形状,corrugation
闪亮,coruscate
宇宙的,cosmic
宇宙,cosmos
服装,costume
小团体,coterie
毗连的,coterminous
长沙发,couch
美洲豹,cougar
面容,countenance
消除,counteract
伪造,counterfeit
撤回,countermand
契约,covenant
秘密的,covert
贪求,covet
贪婪的,covetous
胆小,cowardice
畏缩,cower
腼腆的,coy
暴躁的,crabbed
狡诈的,crafty
悬崖,crag
有峭壁的,craggy
填塞,cram
铁箍,cramp
狭窄的,cramped
曲柄,crank
怪癖的,cranky
篓,crate
火山口,crater
领巾,cravat
渴望,crave
强烈的欲望,craving
懦弱的,craven
彩色笔粉笔或其绘画,crayon
折缝,crease
相信,credence
值得称赞的,creditable
轻信的,credulous
轻信,credulity
信条,creed
小湾,creek
朦胧的,crepuscular
n渐强,crescendo
挫败的,crestfallen
缺口,crevice
畏缩,cringe
谄媚,cringing
变皱,crinkle
跛子,cripple
蛙鸣声,croak
钩针织物用钩针编织,crochet
使弯曲,crook
弯曲的,crooked
交叉火力,crossfire
蹲伏弯腰,crouch
未提炼的,crude
粗糙,crudity
饼屑,crumb
弄碎,crumble
弄皱,crumple
为维护理想,crusade
甲壳类动物,crustacean
秘密的,cryptic
暗号,cryptogram
幼兽,cub
搂抱,cuddle
袖口,cuff
烹饪,cuisine
厨房的,culinary
有罪的,culpable
宗派,cult
种植,cultivate
拖累,cumber
笨重的,cumbersome
贪婪,cupidity
杂种狗,cur
下贱的,currish
馆长,curator
马勒控制,curb
凝乳,curd
使凝结,curdle
脾气暴躁之人,curmudgeon
草书的,cursive
粗略的,cursory
简略而草率的,curt
婀娜多姿的,curvaceous
监管,custody
管理员,custodian
表皮,cuticle
乌贼,cuttlefish
旋风,cyclone
小天鹅,cygnet
愤世嫉俗的,cynical
愤世嫉俗,cynicism
注意的焦点,cynosure
柏树,cypress
细胞学,cytology
涉足,dabble
银板照相,daguerreotype
闲荡,dally
戏弄,dalliance
潮湿,dampen
精美食品,dainty
花花公子,dandy
打扮得像花花公子的,dandified
悬挂,dangle
有斑点的,dappled
胆大的,daredevil
飞镖,dart
有活力的,dashing
涂抹,daub
拙劣的画家,daubster
使胆怯,daunt
勇敢的,dauntless
闲荡,dawdle
相持不下,deadlock
解冻,debacle
贬低,debase
使放荡,debauch
放荡,debauchery
衰弱,debility
使衰弱,debilitate
流出,debouch
向⋯询问情况,debrief
废墟,debris
揭穿真相,debunk
初次登台,debut
初次参加社交活动的少女,debutante
颓废的,decadent
衰落,decadence
离营,decamp
欺骗,deceit
减速,decelerate
分贝,decibel
脱落的,deciduous
毁掉大部分,decimate
解开,decipher
高谈阔论,declaim
高声说话,declamation
撤销保密,declassify
倾斜,declination
倾斜面,declivity
译解,decode
腐烂,decompose
腐烂,decomposition
符合礼节的,decorous
礼节,decorum
命令,decree
衰老的,decrepit
衰老破旧,decrepitude
责难,decry
行为,deed
认为,deem
诽谤,defame
诽谤的,defamatory
缺点,defect
脱党,defection
被告,defendant
敬意,deference
缺陷,deficiency
不足,deficit
弄污,defile
清晰,definition
灰心丧气的,deflated
偏离,deflect
转向,deflection
灵巧的,deft
死亡的,defunct
退步,degenerate
降格,degrade
使失掉人性,dehumanize
奉为神,deify
神化,deification
神,deity
除去水份,dehydrate
屈尊,deign
沮丧的,dejected
沮丧,dejection
赏心悦目的,delectable
享受,delectation
代表,delegate
删除,delete
有害的,deleterious
深思熟虑的,deliberate
定界,delimit
描画,delineate
疏忽职务的,delinquent
失职,delinquency
精神错乱,delirium
精神错乱的,delirious
三角洲,delta
欺骗,delude
欺骗,delusion
大洪水,deluge
深入探究,delve
划分,demarcate
贬抑,demean
举止,demeanor
遣散,demobilize
人口统计,demography
摧毁,demolish
破坏,demolition
降级,demote
表示异议,demur
严肃的,demure
污蔑,denigrate
居民,denizen
命名,denominate
命名,denomination
结尾,denouement
指责,denounce
缺口,dent
假牙,denture
脱去,denude
倒空,deplete
耗尽,depletion
n风度,deportment
免职,depose
免职,deposition
堕落,depravity
贬低,depreciate
劫掠,depredation
剥夺,deprivation
代理,deputy
精神错乱,derangement
荒废的,derelict
嘲弄,deride
嘲弄的,derisive
派生的,derivative
皮肤学,dermatology
贬低,derogate
不敬的,derogatory
除去盐份,desalinize
下来,descend
后代,descendant
远远看到,descry
玷辱,desecrate
完全干涸,desiccate
干燥剂,desiccant
必需品,desideratum
指定,designation
值得要的,desirable
渴望的,desirous
荒凉的,desolate
可鄙的,despicable
夺取,despoil
失望的,despondent
专制,despotism
专横的暴虐的,despotic
贫乏的,destitute
毁坏,destruction
废止,desuetude
不连贯的,desultory
分开的超然公平的,detached
分离超然公平,detachment
拘留,detain
查出探获,detection
威慑,deter
威慑的,deterrent
净化的,detergent
变坏,deteriorate
深恶,detest
爆炸,detonate
爆炸,detonation
弯路,detour
除毒,detoxicate
贬低者,detractor
损害,detriment
损害的,detrimental
摧毁,devastate
破坏性的,devastating
越出常规的,deviant
越轨,deviate
不正直的,devious
空的,devoid
献身,devotion
吞食,devour
灵巧的,dexterous
纯熟灵巧,dexterity
糖尿病,diabetes
恶毒的,diabolical
精致的,diaphanous
抨击,diatribe
二分本质对立,dichotomy
口述命令,dictate
独裁者,dictator
格言声明,dictum
教诲的说教的,didactic
教学法,didactics
金属模子,die
饮食学,dietetics
营养学家,dietitian
散布,diffuse
传播,diffusion
离题,digress
离题,digression
破旧的,dilapidated
破旧荒废,dilapidation
张大,dilate
慢吞吞的,dilatory
困境,dilemma
半瓶醋,dilettante
把弄稀弄淡,dilute
稀释渗水,dilution
渐弱,diminuendo
小巧可爱的,diminutive
酒涡,dimple
喧闹声,din
无篷小船小艇,dinghy
肮脏的,dingy
外交的,diplomatic
嗜酒狂,dipsomania
可怕的,direful
哀歌凄凉之曲调,dirge
打消的错误念头,disabuse
不满的,disaffected
政治上不满,disaffection
讨厌的乖戾的,disagreeable
混乱,disarray
灾难,disaster
灾难性的,disastrous
解散,disband
取消律师资格,disbar
取消律师资格,disbarment
支付,disburse
支出,disbursement
识别,discern
眼光洞察力,discernment
流出,discharge
信徒弟子,disciple
严行纪律的人,disciplinarian
放弃权利,disclaim
使懊恼难堪,discomfit
狼狈,discomfiture
使失态,discompose
失态,discomposure
不满足的,discontented
不一致的,discordant
演讲,discourse
不恭的,discourteous
怀疑,discredit
言行谨慎的,discreet
谨慎,discretion
不同,discrepancy
个别的,discrete
有辨别能力的,discriminating
歧视的,discriminatory
散漫的,discursive
轻视鄙视,disdain
鄙视的,disdainful
无实体的空洞的,disembodied
排除,disencumber
空闲的,disengaged
剥夺⋯的权力,disfranchise
呕出,disgorge
假扮,disguise
不愿的,disinclined
消毒剂,disinfectant
不坦白的,disingenuous
分裂成小片,disintegrate
挖出,disinter
公正的,disinterested
脱节的,disjointed
使脱臼,dislocate
脱节,dislocation
逐出,dislodge
贬抑,disparage
迥然不同的,disparate
不同,disparity
平心静气的,dispassionate
派遣,dispatch
驱散,dispel
不必要的,dispensable
玩耍嬉戏,disport
愿意,disposed
处理,disposition
被剥夺财产的,dispossessed
争执者,disputant
好争辩的,disputatious
担心,disquiet
长篇演讲,disquisition
品格不端的,disreputable
隐藏掩饰感受,dissemble
隐藏掩饰,dissimulate
散布,disseminate
不同意,dissent
持异义者,dissenter
唱反调者,dissident
驱散,dissipate
浪费的,dissipated
放荡的,dissolute
不和谐的,dissonant
不和谐,dissonance
劝阻,dissuade
膨胀,distend
膨胀,distension
蒸馏,distillation
区别差别,distinction
著名的,distinguished
心烦意乱的．精神不集中,distracted
心神狂乱的,distraught
痛苦,distress
使人痛苦的,distressing
扰乱骚动,disturbance
白昼的,diurnal
离题,divagate
分歧,diverge
分歧,divergence
不同的,diverse
多样,diversity
卸下盛装,divest
红利,dividend
泄露,divulge
剪短,dock
空论家,doctrinaire
闪开躲避,dodge
脱掉外衣,doff
歪诗,doggerel
教条的,dogmatic
n无风带,doldrums
忧愁的,doleful
悲哀的,dolorous
笨蛋,dolt
愚笨的,doltish
领土,domain
圆屋顶,dome
驯养,domesticate
家庭生活,domesticity
冬眠的,dormant
背部的,dorsal
剂量,dose
卷宗,dossier
老年糊涂,dotage
溺爱,dote
溺爱的,doting
把⋯浸入水中,douse
不整洁的,dowdy
绒毛,down
意志消沉的,downcast
枯黄色的,drab
乏味,drabness
排水,drainage
吊桥,drawbridge
慢吞吞说,drawl
沉闷的,dreary
用挖泥机疏浚,dredge
挖泥船,dredger
渣滓,dregs
湿透的,drenched
往下滴,dribble
下毛毛雨,drizzle
毛毛细雨的,drizzly
古怪的,droll
滑稽,drollery
嗡嗡地响,drone
浮渣,dross
畜群,drove
劳碌,drudge
双重的,dual
易拉长的,ductile
决斗,duel
二重唱,duet
悦耳的,dulcet
蠢材,dunce
沙丘,dune
受骗的人,dupe
欺骗,duplicity
持续的时间,duration
协迫,duress
侏儒,dwarf
