あいかわらず,相変わらず
いちぶ,一部
いちぶぶん,一部分
いちべつ,一別
いちめん,一面
いちもく,一目
いちよう,一様
いちりつ,一律
いちりゅう,一流
いちれん,一連
いつか,五日
いつか,何時か
いっか,一家
いっかつ,一括
いっき,一気
いっきょに,一挙に
いっけん,一見
いっさい,一切
いっしゅ,一種
いっしゅん,一瞬
いっしょ,一緒
いっしょう,一生
いっしょうけんめい,一生懸命
いっしん,一心
いっせい,一斉
いっそう,一層
いったい,一体
いったい,一帯
いったん,一旦
いっち,一致
いつつ,五つ
いってい,一定
いっぱん,一般
いっぺん,一変
いっぽう,一方
いてん,移転
いと,意図
いど,井戸
いど,緯度
いどう,移動
いどう,異動
いとなむ,営む
いどむ,挑む
いない,以内
いなか,田舎
いなびかり,稲光
いねむり,居眠り
いのり,祈り
いのる,祈る
いばる,威張る
いはん,違反
いふく,衣服
いま,居間
いまさら,今更
いまに,今に
いまにも,今にも
いみ,意味
いみん,移民
いやがる,嫌がる
いやしい,卑しい
いよく,意欲
いらい,以来
いらい,依頼
いりぐち,入口
いりょう,衣料
いりょう,医療
いりょく,威力
いる,居る
いる,要る
いるい,衣類
いれもの,入れ物
いれる,入れる
いろん,異論
いわい,祝い
いわう,祝う
いわば,言わば
いんかん,印鑑
いんき,陰気
インク,インキ
いんきょ,隠居
いんさつ,印刷
いんしょう,印象
いんたい,引退
いんよう,引用
いんりょく,引力
うえき,植木
うえる,植える
うえる,飢える
うかがう,伺う
うかぶ,浮かぶ
うかべる,浮かべる
うかる,受かる
うく,浮く
うけいれ,受け入れ
うけいれる,受け入れる
うけたまわる,承る
うけつぐ,受け継ぐ
うけつけ,受付
うけつける,受け付ける
うけとめる,受け止める
うけとり,受け取り
うけとる,受け取る
うけみ,受身
うけもち,受け持ち
うけもつ,受け持つ
うける,受ける
うごかす,動かす
うごき,動き
うごく,動く
うしなう,失う
うすい,薄い
うすぐらい,薄暗い
うすめる,薄める
うずめる,埋める
うそつき,嘘つき
うたう,歌う
うたがう,疑う
うたたね,転寝
うちあける,打ち明ける
うちあわせ,打ち合わせ
うちあわせる,打ち合わせる
うちきる,打ち切る
うちけし,打ち消し
うちけす,打ち消す
うちこむ,打ち込む
うちゅう,宇宙
うちわ,団扇
うちわけ,内訳
うつくしい,美しい
うつし,写し
うつす,移す
うったえ,訴え
うったえる,訴える
うつる,移る
うつろ,空ろ
うでまえ,腕前
うてん,雨天
うながす,促す
うばう,奪う
うまれ,生まれ
うまれつき,生まれつき
うまれる,生まれる
うまる,埋まる
うむ,産む
うむ,有無
うめこむ,埋め込む
うめぼし,梅干
うやまう,敬う
うらがえし,裏返し
うらがえす,裏返す
うらぎる,裏切る
うらぐち,裏口
うらなう,占う
うらみ,恨み
うらむ,恨む
うらやましい,羨ましい
うらやむ,羨む
うりあげ,売上
うりきれ,売り切れ
うりきれる,売り切れる
うりだし,売り出し
うりだす,売り出す
うりば,売り場
うる,売る
うるおう,潤う
うれしい,嬉しい
うれゆき,売れ行き
うれる,売れる
うわき,浮気
うわぎ,上着
うわまわる,上回る
うわる,植わる
うんえい,運営
うんが,運河
うんそう,運送
うんちん,運賃
うんてん,運転
うんどう,運動
うんぬん,云々
うんぱん,運搬
うんめい,運命
うんゆ,運輸
うんよう,運用
えいえん,永遠
えいが,映画
えいきゅう,永久
えいきょう,影響
えいぎょう,営業
えいご,英語
えいじ,英字
えいしゃ,映写
えいせい,衛生
えいせい,衛星
えいぞう,映像
えいぶん,英文
えいゆう,英雄
えいよう,栄養
えいわ,英和
えがお,笑顔
えがく,描く
えきたい,液体
えつらん,閲覧
えのぐ,絵の具
えもの,獲物
えらい,偉い
えらぶ,選ぶ
えんかい,宴会
えんかつ,円滑
えんがわ,縁側
えんがん,沿岸
えんき,延期
えんぎ,演技
えんきょく,婉曲
えんげい,園芸
えんげき,演劇
えんしゅう,円周
えんしゅう,演習
えんしゅつ,演出
えんじょ,援助
えんぜつ,演説
えんせん,沿線
えんそう,演奏
えんそく,遠足
えんだん,縁談
えんちょう,延長
えんとつ,煙突
えんぽう,遠方
えんまん,円満
えんりょ,遠慮
おいかける,追い掛ける
おいこす,追い越す
おいこむ,追い込む
おいだす,追い出す
おいつく,追い付く
おいて,於いて
おいる,老いる
おう,追う
おう,負う
おうえん,応援
おうきゅう,応急
おうごん,黄金
おうさま,王様
おうじ,王子
おうじょ,王女
おうしん,往診
おうせつ,応接
おうたい,応対
おうだん,横断
おうふく,往復
おうべい,欧米
おうぼ,応募
おうよう,応用
おえる,終える
おおい,多い
おおいに,大いに
おおう,覆う
おおかた,大方
おおがら,大柄
おおげさ,大げさ
おおすじ,大筋
おおどおり,大通り
おおぞら,大空
おおはば,大幅
おおみず,大水
おおや,大家
おかす,犯す
おかす,侵す
おかまいなく,お構いなく
おがむ,拝む
おかわり,お代わり
おぎなう,補う
おきる,起きる
おきのどくに,お気の毒に
おく,置く
おくがい,屋外
おくじょう,屋上
おくびょう,臆病
おくらす,遅らす
おくりがな,送り仮名
おくりもの,贈り物
おくる,送る
おくる,贈る
おくれ,遅れ
おくれる,遅れる
おげんきで,お元気で
おげんきですか,お元気ですか
おこさん,お子さん
おこす,起こす
おごそか,厳か
おこたる,怠る
おこない,行い
おこなう,行う
おこる,起こる
おこる,怒る
おさえる,押さえる
おさきに,お先に
おさない,幼い
おさん,お産
おしい,惜しい
おしいれ,押し入れ
おしえ,教え
おしえる,教える
おじぎ,御辞儀
おしきる,押し切る
おしこむ,押し込む
おしむ,惜しむ
おじょうさん,お嬢さん
おしよせる,押し寄せる
おす,押す
おせじ,お世辞
せおせわになりました,お世話になりました
おせん,汚染
おそい,遅い
おそう,襲う
おそくとも,遅くとも
おそらく,恐らく
おそれ,恐れ
おそれいる,恐れ入る
おそれる,恐れる
おそろしい,恐ろしい
おそわる,教わる
おだいじに,お大事に
おたがい,お互い
おだやか,穏やか
おちこむ,落ち込む
おちつき,落ち着き
おちつく,落ち着く
おちば,落ち葉
おちる,落ちる
おつかい,お使い
おてあげ,お手上げ
おてあらい,御手洗い
おでかけ,お出かけ
おてつだいさん,お手伝いさん
おとこのひと,男の人
おとしもの,落し物
おとす,落とす
おとな,大人
おとも,お供
おどり,踊り
おとる,劣る
おどる,踊る
おとろえる,衰える
おどかす,驚かす
おどろき,驚き
おどろく,驚く
おないどし,同い年
おなじ,同じ
おにいさん,お兄さん
おねえさん,お姉さん
おのおの,各々
おのずから,自ずから
おびえる,怯える
おびやかす,脅かす
おひる,お昼
おびる,帯びる
おふくろ,お袋
おぼえ,覚え
おぼえる,覚える
おぼれる,溺れる
おまいり,お参り
おまたせしました,お待たせしました
おまちください,お待ちください
おまちどおさま,お待ちどおさま
おまわりさん,お巡りさん
おみや,お宮
おめにかかる,お目に掛かる
おもい,重い
おもいがけない,思い掛けない
おもいきり,思い切り
おもいこむ,思い込む
おもいつき,思いつき
おもいっきり,思いっきり
おもいつく,思い付く
おもいで,思い出
おもう,思う
おもしろい,面白い
おもたい,重たい
おもむく,赴く
おもわず,思わず
おやじ,親父
おやゆび,親指
およぼす,及ぼす
おり,折り
おりかえす,折り返す
おりもの,織物
おれる,折れる
おろか,愚か
おろす,卸す
おわり,終わり
おわる,終わる
おんがく,音楽
おんけい,恩恵
おんしつ,温室
おんせん,温泉
おんたい,温帯
おんだん,温暖
おんちゅう,御中
おんど,温度
おんなのこ,女の子
おんなのひと,女の人
おんわ,温和
かいあく,改悪
かいいん,会員
かいうん,海運
かいが,絵画
がいか,外貨
かいかい,開会
かいがい,海外
かいかく,改革
かいがら,貝殻
かいかん,会館
かいがん,海岸
がいかん,外観
かいぎ,会議
かいきゅう,階級
かいきょう,海峡
かいけい,会計
かいけつ,解決
かいけん,会見
かいご,介護
かいごう,会合
がいこう,外交
がいこく,外国
かいさい,開催
かいさつ,改札
かいさん,解散
かいし,開始
かいしゃ,会社
かいしゃく,解釈
かいしゅう,回収
かいしゅう,改修
かいじゅう,怪獣
がいしゅつ,外出
かいじょ,解除
かいじょう,会場
がいしょう,外相
かいすいよく,海水浴
かいすう,回数
かいすうけん,回数券
がいする,害する
かいせい,改正
かいせい,快晴
かいせつ,解説
がいせつ,概説
かいぜん,改善
かいそう,回送
かいそう,階層
かいぞう,改造
かいたく,開拓
かいだん,階段
かいだん,会談
かいつう,開通
かいてい,改定
かいてい,改訂
かいてき,快適
かいてん,回転
かいどう,街道
がいとう,該当
がいとう,街頭
かいにゅう,介入
がいねん,概念
かいはつ,開発
かいばつ,海抜
がいぶ,外部
かいふく,回復
かいほう,解放
かいほう,開放
かいほう,介抱
かいぼう,解剖
かいもの,買い物
かいよう,海洋
がいらい,外来
かいらん,回覧
がいりゃく,概略
かいりゅう,海流
かいりょう,改良
かいろ,回路
かいろ,海路
がいろん,概論
かいわ,会話
かう,買う
かう,飼う
かえす,返す
かえす,帰す
かえり,帰り
かおく,家屋
かおつき,顔付き
かおり,香り
がか,画家
かがい,課外
かかえる,抱える
かかく,価格
かがく,科学
かがく,化学
かかげる,掲げる
かがやく,輝く
かかり,係り
かかる,掛かる
かかわる,係わる
かきとめ,書留
かきとり,書き取り
かきとる,書き取る
かきね,垣根
かきまわす,掻き回す
かぎり,限り
かぎる,限る
かく,欠く
かく,書く
かく,掻く
かぐ,嗅ぐ
かぐ,家具
かくう,架空
がくげい,学芸
かくご,覚悟
かくさ,格差
かくさん,拡散
かくじ,各自
がくし,学士
かくじつ,確実
がくしゃ,学者
かくしゅ,各種
かくしゅう,隔週
かくじゅう,拡充
がくしゅう,学習
がくじゅつ,学術
かくしん,確信
かくしん,革新
かくす,隠す
がくせい,学生
がくせつ,学説
かくだい,拡大
かくち,各地
かくちょう,拡張
かくてい,確定
かくど,角度
かくとく,獲得
かくにん,確認
がくねん,学年
がくふ,楽譜
がくぶ,学部
かくべつ,格別
かくほ,確保
かくめい,革命
がくもん,学問
かくりつ,確立
かくりつ,確率
がくりょく,学力
がくれき,学歴
かくれる,隠れる
かけ,賭け
かけあし,駆け足
かけい,家計
かけざん,掛け算
かけつ,可決
かける,掛ける
かける,欠ける
かける,駆ける
かける,賭ける
かげん,加減
かこ,過去
かこう,火口
かこう,下降
かこう,加工
かごう,化合
かこむ,囲む
かさい,火災
かさなる,重なる
かさねる,重ねる
かざり,飾り
かざる,飾る
かざん,火山
かし,貸し
かし,菓子
かじ,火事
かじ,家事
かしこい,賢い
かしだし,貸し出し
かしつ,過失
かじつ,果実
かしま,貸間
かしや,貸家
かしゅ,歌手
かしょ,箇所
かじょう,過剰
かじょうがき,箇条書き
かす,貸す
かすか,微か
かすむ,霞む
かぜ,風邪
かせい,火星
かぜい,課税
かせき,化石
かせん,河川
かせん,下線
かせん,化繊
かせぐ,稼ぐ
かそ,過疎
かぞえる,数える
かそく,加速
かぞく,家族
かそくど,加速度
かだい,課題
かたおもい,片思い
かたがた,方々
かたかな,片仮名
かたこと,片言
かたづく,片付く
かたづけ,片付け
かたづける,片付ける
かたまる,固まる
かたみち,片道
かたむく,傾く
かたむける,傾ける
かためる,固める
かたる,語る
かたわら,傍ら
かだん,花壇
かち,勝ち
かち,価値
かちく,家畜
かつ,勝つ
かつ,且つ
がっかり,学科
がっかい,学会
かっき,活気
かっき,画期
がっき,楽器
がっき,学期
がっきゅう,学級
かつぐ,担ぐ
かっこ,括弧
かっこう,格好
がっこう,学校
かつじ,活字
がっしょう,合唱
がっちり,合致
かってに,勝手に
かってに,勝手
かつどう,活動
かっぱつ,活発
がっぺい,合併
かつやく,活躍
かつよう,活用
かつりょく,活力
かてい,仮定
かてい,家庭
かてい,過程
かてい,課程
かな,仮名
かない,家内
かなう,叶う
かなえる,叶える
かなしい,悲しい
かなしむ,悲しむ
かなづかい,仮名遣い
かなづち,金槌
かならず,必ず
かならずしも,必ずしも
かにゅう,加入
かねつ,加熱
かねて,予ねて
かねもち,金持ち
かねる,兼ねる
かのう,可能
かのじょ,彼女
かびん,花瓶
かぶしき,株式
かぶせる,被せる
かぶる,被る
かふん,花粉
かへい,貨幣
かまう　,構う　
かまえ,構え
かまえる,構える
がまん,我慢
かみ,加味
かみくず,紙屑
かみさま,神様
かみそり,剃刀
かみつ,過密
かみのけ,髪の毛
かみきる,噛み切る
かむ,噛む
かもく,科目
かもつ,貨物
かゆい,痒い
かよう,通う
かよう,歌謡
からい,辛い
からだつき,体付き
からっぽ,空っぽ
からむ,絡む
かり,借り
かりる,借りる
かる,刈る
かるい,軽い
かれら,彼等
かれる,枯れる
かれる,涸れる
かろう,過労
かわかす,乾かす
かわす,交わす
かわせ,為替
かわり,代わり
かわるがわる,代わる代わる
かんい,簡易
かんがい,感慨
かんがえ,考え
かんがえる,考える
がんか,眼科
かんかく,感覚
かんかく,間隔
かんき,換気
かんきゃく,観客
がんきゅう,眼球
かんきょう,環境
がんぐ,玩具
かんけい,関係
かんげい,歓迎
かんげき,感激
かんけつ,簡潔
かんげん,還元
かんご,看護
かんご,漢語
がんこ,頑固
かんこう,観光
かんこう,刊行
かんこう,慣行
かんこく,勧告
かんごふ,看護婦
かんさい,関西
かんさつ,観察
かんさん,換算
かんし,監視
かんじ,感じ
かんじ,漢字
がんじつ,元日
かんしゃ,感謝
かんじゃ,患者
かんしゅう,慣習
かんしゅう,観衆
がんしょ,願書
かんしょう,干渉
かんしょう,鑑賞
かんじょう,勘定
かんじょう,感情
がんじょう,頑丈
かんしょく,感触
かんしん,感心
かんしん,関心
かんする,関する
かんせい,完成
かんせい,歓声
かんぜい,関税
がんせき,岩石
かんせつ,間接
かんせん,感染
かんせん,幹線
かんぜん,完全
かんそ,簡素
かんそう,乾燥
かんそう,感想
かんそく,観測
かんたい,寒帯
かんたん,簡単
かんちょう,官庁
かんちがい,勘違い
かんづめ,缶詰
かんてん,観点
かんでんち,乾電池
かんど,感度
かんとう,関東
かんどう,感動
かんとく,監督
かんねん,観念
がんねん,元年
かんぱい,乾杯
がんばる,頑張る
かんばん,看板
かんびょう,看病
かんぶ,幹部
かんぺき,完璧
かんべん,勘弁
かんむりょう,感無量
かんゆう,勧誘
かんよ,関与
かんよう,慣用
かんよう,寛容
がんらい,元来
かんらん,観覧
かんり,管理
かんりょう,完了
かんりょう,官僚
かんれい,慣例
かんれき,還暦
かんれん,関連
かんろく,貫禄
かんわ,漢和
かんわ,緩和
きあつ,気圧
ぎあん,議案
きいろ,黄色
きいろい,黄色い
ぎいん,議員
きえる,消える
きおく,記憶
きおん,気温
きかい,機会
きがい,危害
ぎかい,議会
きがえる,着替える
きかく,企画
きかく,規格
きかざる,着飾る
きがね,気兼ね
きがる,気軽
きかん,期間
きかん,器官
きかん,季刊
きかん,機関
きかんしゃ,機関車
きき,危機
ききとり,聞き取り
ききめ,効き目
ききょう,帰京
きぎょう,企業
ぎきょく,戯曲
ききん,基金
ききん,飢饉
きく,聞く
きく,効く
きぐ,器具
きげき,喜劇
ぎけつ,議決
きけん,危険
きけん,棄権
きげん,期限
きげん,機嫌
きげん,起源
きこう,気候
きこう,機構
きごう,記号
きこえる,聞こえる
きこん,既婚
きざ,気障
きさい,記載
きざし,兆し
きざむ,刻む
きじ,生地
きじ,記事
ぎし,技師
ぎしき,儀式
きしつ,気質
きじつ,期日
きしゃ,汽車
きしゃ,記者
ぎじどう,議事堂
きじゅつ,記述
ぎじゅつ,技術
きしょう,気象
きしょう,起床
きすう,奇数
きずく,築く
きずつく,傷付く
きずつける,傷付ける
きせい,規制
ぎせい,犠牲
きせつ,季節
きせる,着せる
きせん,汽船
きそ,基礎
きぞう,寄贈
ぎぞう,偽造
きそく,規則
きぞく,貴族
きたい,期待
きたい,気体
ぎだい,議題
きたえる,鍛える
きたく,帰宅
きだて,気立て
きたない,汚い
きたる,来る
きち,基地
きちょう,貴重
ぎちょう,議長
きちょうめん,几帳面
きづく,気付く
きっさ,喫茶
きって,切手
きっぷ,切符
きてい,規定
きてん,起点
きどう,軌道
きにいる,気に入る
きにゅう,記入
きねん,記念
きのう,昨日
きのう,機能
ぎのう,技能
きのどく,気の毒
きはん,規範
きばん,基盤
きびしい,厳しい
きひん,気品
きふ,寄付
きふう,気風
きふく,起伏
きぶん,気分
きぼ,規模
きぼう,希望
きほん,基本
きまぐれ,気まぐれ
きまじめ,生真面目
きまつ,期末
きまり,決まり
きまりわるい,決まり悪い
きまる,決まる
きみ,気味
きみょう,奇妙
ぎむ,義務
きめい,記名
きめる,決める
きもち,気持ち
きもの,着物
ぎもん,疑問
きやく,規約
きゃくしょく,脚色
きゃくせき,客席
ぎゃくてん,逆転
きゃくほん,脚本
きゃくま,客間
きゃしゃ,華奢
きゃっかん,客観
きゅうえん,救援
きゅうか,休暇
きゅうがく,休学
きゅうぎょう,休業
きゅうきょく,究極
きゅうくつ,窮屈
きゅうけい,休憩
きゅうげき,急激
きゅうこう,急行
きゅうこう,休講
きゅうこん,球根
きゅうさい,救済
きゅうじ,給仕
きゅうしゅう,吸収
きゅうじょ,救助
きゅうしょく,給食
きゅうせん,休戦
きゅうそく,急速
きゅうそく,休息
きゅうでん,宮殿
きゅうに,急に
きゅうち,旧知
ぎゅうにゅう,牛乳
きゅうぼう,窮乏
きゅうよ,給与
きゅうよう,休養
きゅうりょう,給料
きゅうりょう,丘陵
きよ,寄与
きよい,清い
きよう,器用
きょう,今日
きょうい,驚異
きょういく,教育
きょういん,教員
きょうか,強化
きょうか,教科
きょうかい,教会
きょうかい,境界
きょうかい,協会
きょうがく,共学
きょうかしょ,教科書
きょうかん,共感
きょうぎ,競技
きょうぎ,協議
ぎょうぎ,行儀
きょうきゅう,供給
きょうぐう,境遇
きょうくん,教訓
きょうこう,強行
きょうこう,強硬
きょうざい,教材
きょうさく,凶作
きょうし,教師
ぎょうじ,行事
きょうしつ,教室
ぎょうしゃ,業者
きょうじゅ,教授
きょうじゅ,享受
きょうしゅう,教習
きょうしゅう,郷愁
きょうしゅく,恐縮
きょうしょく,教職
きょうせい,強制
ぎょうせい,行政
ぎょうせき,業績
きょうそう,競争
きょうぞん,共存
きょうだい,兄弟
きょうちょう,強調
きょうちょう,協調
きょうつう,共通
きょうてい,協定
きょうど,郷土
きょうどう,共同
きょうはく,脅迫
きょうふ,恐怖
きょうみ,興味
ぎょうむ,業務
きょうめい,共鳴
きょうよう,教養
きょうり,郷里
きょうりょく,協力
きょうりょく,強力
きょうれつ,強烈
ぎょうれつ,行列
きょうわ,共和
きょか,許可
ぎょぎょう,漁業
きょくせん,曲線
きょくたん,極端
きょじゅう,居住
きょぜつ,拒絶
ぎょせん,漁船
ぎょそん,漁村
きょだい,巨大
きょねん,去年
きょひ,拒否
きょよう,許容
きよらか,清らか
きょり,距離
きらく,気楽
ぎり,義理
きりかえる,切り替える
きりつ,規律
きりゅう,気流
きれめ,切れ目
きれる,切れる
きろく,記録
ぎろん,議論
ぎわく,疑惑
きわめて,極めて
きをつける,気を付ける
きんえん,禁煙
きんがく,金額
きんがん,近眼
きんきゅう,緊急
きんぎょ,金魚
きんこ,金庫
きんこう,近郊
きんこう,均衡
ぎんこう,銀行
きんし,近視
きんし,禁止
きんじょ,近所
きんせん,金銭
きんぞく,金属
きんだい,近代
きんちょう,緊張
きんにく,筋肉
きんべん,勤勉
ぎんみ,吟味
きんむ,勤務
きんもつ,禁物
きんゆう,金融
きんろう,勤労
ぐあい,具合
くいき,区域
くいちがう,食い違う
くう,食う
くうかん,空間
くうき,空気
くうこう,空港
ぐうすう,偶数
ぐうぜん,偶然
くうそう,空想
くうちゅう,空中
くうふく,空腹
くかく,区画
くかん,区間
くぎり,区切り
くぎる,区切る
くさい,臭い
くさる,腐る
くじょう,苦情
くしん,苦心
くずす,崩す
くすりゆび,薬指
くずれる,崩れる
ぐたい,具体
くだく,砕く
くだける,砕ける
くださる,下さる
くだもの,果物
ぐち,愚痴
くちずさむ,口ずさむ
くちべに,口紅
くちる,朽ちる
くつう,苦痛
くつがえす,覆す
くつした,靴下
くっせつ,屈折
くとうてん,句読点
くばる,配る
くびかざり,首飾り
くびわ,首輪
こうふ,工夫
くぶん,区分
くべつ,区別
くみあい,組合
くみあわせ,組み合わせ
くみこむ,組み込む
くみあわせる,組み合わせる
くみたてる,組み立てる
くやしい,悔しい
くやむ,悔やむ
くらい,暗い
くらし,暮らし
くらす,暮らす
くらべる,比べる
くりかえす,繰り返す
くるしい,苦しい
くるしむ,苦しむ
くるしめる,苦しめる
くれる,暮れる
くろい,黒い
くろう,苦労
くろうと,玄人
くろじ,黒字
くわしい,詳しい
くわわる,加わる
ぐんかん,軍艦
ぐんじ,軍事
くんしゅ,君主
ぐんたい,軍隊
ぐんび,軍備
くんれん,訓練
ぐんぷく,軍服
けいい,敬意
けいい,経緯
けいえい,経営
けいか,経過
けいかい,軽快
けいかい,警戒
けいかく,計画
けいかん,警官
けいき,景気
けいき,計器
けいき,契機
けいぐ,敬具
けいけん,経験
けいげん,軽減
けいこ,稽古
けいご,敬語
けいこう,傾向
けいこうとう,蛍光灯
けいこく,警告
けいさい,掲載
けいざい,経済
けいさつ,警察
けいさん,計算
けいじ,掲示
けいじ,刑事
けいしき,形式
けいしゃ,傾斜
げいじゅつ,芸術
けいせい,形成
けいせい,形勢
けいぞく,継続
けいそつ,軽率
けいたい,携帯
けいたい,形態
けいと,毛糸
けいど,経度
けいとう,系統
げいのう,芸能
けいば,競馬
けいばつ,刑罰
けいひ,経費
けいび,警備
けいぶ,警部
けいべつ,軽蔑
けいやく,契約
けいゆ,経由
けいようし,形容詞
けいようどうし,形容動詞
けいれき,経歴
けいろ,経路
けが,怪我
げか,外科
けがわ,毛皮
げきじょう,劇場
げきぞう,激増
げきだん,劇団
げきれい,激励
けさ,今朝
けしき,景色
けしゴム,消しゴム
げしゃ,下車
げしゅく,下宿
げじゅん,下旬
けしょう,化粧
げすい,下水
けずる,削る
げた,下駄
けつあつ,血圧
けつい,決意
けつえき,血液
けっか,結果
けっかく,結核
けっかん,欠陥
けっかん,血管
けつぎ,決議
げっきゅう,月給
けっきょく,結局
けっこう,結構
けっこう,決行
けつごう,結合
けっこん,結婚
けっさく,傑作
けっさん,決算
けっして,決して
げっしゃ,月謝
けっしょう,決勝
けっしょう,結晶
けっしん,決心
けっせい,結成
けっせき,欠席
けっそく,結束
けつだん,決断
けってい,決定
けってん,欠点
げっぷ,月賦
けつぼう,欠乏
げつまつ,月末
けつろん,結論
けとばす,蹴飛ばす
けはい,気配
げひん,下品
けむい,煙い
けむたい,煙たい
けむる,煙る
けらい,家来
げり,下痢
ける,蹴る
けわしい,険しい
けんい,権威
げんいん,原因
けんか,喧嘩
けんかい,見解
げんかい,限界
けんがく,見学
げんかん,玄関
げんき,元気
けんきゅう,研究
けんきょ,謙虚
けんぎょう,兼業
げんきん,現金
けんげん,権限
げんご,言語
けんこう,健康
げんこう,原稿
げんこう,現行
けんさ,検査
けんざい,健在
げんざい,現在
げんさく,原作
げんさん,原産
けんじ,検事
げんし,原始
げんし,原子
げんじつ,現実
げんしゅ,元首
けんしゅう,研修
げんじゅう,厳重
げんしょ,原書
けんしょう,懸賞
げんしょう,現象
げんしょう,減少
げんじょう,現状
けんせつ,建設
けんぜん,健全
げんそ,元素
げんぞう,現像
げんそく,原則
けんそん,謙遜
げんだい,現代
けんち,見地
げんち,現地
けんちく,建築
けんちょう,県庁
げんてい,限定
げんてん,原点
げんてん,原典
げんてん,減点
げんど,限度
けんとう,見当
けんとう,検討
げんに,現に
げんば,現場
げんばく,原爆
けんびきょう,顕微鏡
けんぶつ,見物
げんぶん,原文
けんぽう,憲法
げんみつ,厳密
けんめい,賢明
けんめい,懸命
けんやく,倹約
げんゆ,原油
けんよう,兼用
けんり,権利
げんり,原理
げんりょう,原料
けんりょく,権力
げんろん,言論
こい,濃い
ごい,語彙
こいしい,恋しい
こいする,恋する
こいびと,恋人
こうい,好意
こうい,行為
ごうい,合意
こういん,行員
ごういん,強引
こううん,幸運
こうえき,交易
こうえん,公園
こうえん,講演
こうえん,公演
こうか,効果
こうか,硬貨
こうか,高価
ごうか,豪華
こうかい,後悔
こうかい,公開
こうかい,航海
こうがい,郊外
こうがい,公害
こうがく,工学
