グラフィカル,Graphical
走り書き,scrawled
金庫,chest
神秘的な,mysterious
被害者,victim
感情,sentiment
調査官,Investigators
結論,concluded
操作,manipulated
証人,witness
証言,testimony
〜の間,during
意図的に,intentional
を与えた,inflicted
上演,staged
表示される,appear
殺人,homicide
船長,captain
徹底的に,thorough
審査,examination
シーン,scene
を含む,include
車両,vehicle
住居,residence
決意,determination
適応症,indications
発見,discovered
最近、,recently
誤って,accidental
合計,totalling
追加,additional
しかしばがら,However
最貧国,poorest
エディタ,Editor
報告書,Report
上昇,risen
メートル,metre
硬質繊維板,hardboard
キュービクル,cubicle
第五,fifth
具体的な,concrete
建物,building
木造,wooden
はしご,ladders
格子,lattice
上限,upper
キュービクル,cubicles
棺,coffin
サイズ,sized
絶望的な,desperate
台所,kitchen
ステンドグラス,stained
トイレ,toilet
上昇,rising
退職,retired
クリーナー,cleaner
評価,Rating
部,Department
住宅,residential
プロパティ,property
クラス,classes
平均の,average
住民,residents
寝具,bedding
高齢者,elderly
ますます,increasingly
家族,families
ブーム,boom
港,harbour
アパート,apartments
寄り添う,nestle
隣人,neighbour
アクセス,accessed
島,Island
密集,densely
移入,populated
百万,million
有限,finite
高価な,expensive
アパート,apartment
控えめな,modest
誇りに思う,proud
投資家,investor
中国本土,mainland
代理店,agency
騎士,Knight
せい,blame
崩壊,collapse
サポート,supported
権限,authority
資本金,capital
領土,territory
資産,assets
注が,poured
流れる,flowing
投資,invested
インフレ,Inflation
ホットスポット,hotspots
シンガポール,Singapore
きっかけ,sparked
不動産,Estate
土砂降り,pouring
すでに,already
所得,incomes
必需品,essentials
経済,economies
ユーティリティ,utilities
金利,interest
代わりに,Instead
調整,adjusted
を維持する,maintain
通貨,currency
人為的に,artificially
借入,borrowing
気性,temper
最小,minimum
お支払い,payment
豪華な,luxury
締め,tightened
規制,regulation
奨励,encourage
控えめに,conservatively
バブル,bubble
主要な,major
小売り,retail
削減,reduce
それ,thereby
制限,restrict
融資,lending
輸出,exports
遅い,slowest
年間,annual
回復,recovery
アナリスト,analysts
それ以上の,further
出現,emergence
不況,recession
最大,largest
経済,economy
Totalled,totalled
高い,higher
需要,demand
理由,reason
〜の間に,between
明確に,clearly
参加する,participating
リバウンド,rebound
隣人,neighbours
特定の,particular
海外,overseas
改善,improved
まま,remained
全体的な,overall
剰余金,surplus
そう,unlikely
堅牢な,robust
徐々に,gradual
研究,Research
成長,grew
強さ,strength
とどまる,remain
特に、,particularly
デフレ,deflation
レビュー,review
抗議,protests
対処,dealt
アイルランド,Ireland
提案,propose
戦術,tactics
首都圏,Metropolitan
検査官,Inspectorate
警官,Constabulary
調べる,investigate
過度の,excessive
軍曹,sergeant
暴行,assaulting
デモンストレーター,demonstrator
女性,female
大いに,Hugely
に関する,concerning
インスペクタ,Inspector
以前の,Earlier
コモンズ,Commons
総務,Affairs
映像,footage
心配,concerned
容認,unacceptable
行動,behaviour
新聞,newspaper
ベンダー,vendor
明らかに,obviously
個々の,individual
事件,incidents
同僚,colleagues
暴行,assault
がっかり,disappointing
基準,standards
中間,interim
不十分な,inadequate
強調,emphasise
保証する,ensure
適切な,appropriate
合法的な,lawful
委託,commissioned
心理学,psychology
スウェーデン,Sweden
対話,dialogue
デモ,demonstrators
改善する,improve
通信,communication
デモ,protesters
を含む,contain
閉じ込められた,confined
有罪判決,guilty
試み,trial
〜に対して,against
反政府勢力,rebels
東部,eastern
民主党,Democratic
共和国,Republic
コンゴ,Congo
故障,failure
義務付けられて,mandated
リクルート,recruit
戦闘機,fighters
違法,illegal
取引,trade
鉱物,minerals
悪化,exacerbated
人道,humanitarian
危機,crisis
違反,violations
禁輸,embargo
解体,dismantle
政治,political
関与,involved
ルワンダ,Rwandan
ジェノサイド,genocide
ネットワーク,networks
を強化する,bolster
腕,arms
兵士,soldiers
コンゴ民主共和国,Congolese
仮定,supposed
反対,opposing
民兵組織,militia
解放,Liberation
軍,army
パラレル,parallel
武力,armed
拡大,expanded
影響力,influence
〜の至るところに,throughout
地域,region
コマンド,command
のパワーを解き放つ,unleashed
波,wave
レイプ,rapes
操作,operation
ターミネーター,Terminator
刑事,Criminal
コート,Court
支配,dominated
初め,beginning
以前は,formerly
もうかる,lucrative
鉱業,mining
デプロイ,deployed
制裁,sanctions
重要な,significant
金額,amounts
人身売買,trafficked
個人,individuals
経て,through
首長国連邦,Emirates
認識,recognises
矛盾,contradiction
マンデート,mandate
民間人,civilians
悪化,aggravated
状況,situation
豚,Swine
恐怖,fears
メッカ巡礼,Hajj
注意事項,precautions
巡礼,pilgrims
収集,gather
参加予定,attending
巡礼,pilgrimage
訪問者,visitors
に影響を与える,affect
イスラム教徒,Muslims
収束,converge
推定,Estimating
特派員,correspondent
明確に,clearer
ウイルス,virus
病気,illness
拡散,spreading
必要に応じ,necessary
対策,measures
広報担当者,spokesman
火曜日,Tuesday
検出された,detected
スーダン,Sudanese
モロッコ,Moroccan
ナイジェリア,Nigeria
推奨,recommended
手順,procedures
特に、,especially
予防接種,vaccination
条件,condition
旋回,circling
旋回,旋回
90,clockwise
方向,direction
登山,climbing
いくつかの,several
悲劇的な,tragic
事故,accidents
群衆,crowds
将棋倒し,stampede
入り口,entrance
災害,disasters
再構築,rebuilding
歩行者,pedestrian
通路,walkway
過密,overcrowding
を防ぐ,prevent
委員会,Commission
説明,described
暴力,violent
民主主義,democracy
抑制,suppression
デモ,demonstration
スタジアム,stadium
いとこ,cousin
銃口,muzzle
ライフル,rifle
暴行,assaulted
ホラー,horror
分類,classify
犯罪,crimes
決定,determine
責任者,responsible
外交官,diplomat
通知,informed
ミッション,mission
匿名,anonymity
一貫性のある,consistent
疑惑,allegations
非武装の,unarmed
ラリー,rally
怖がらせる,scare
箇条書き,bullets
何百もの,hundreds
もうひとつの,Another
何千もの,thousands
負傷者,injured
虐殺,massacres
暴行,beaten
拷問,tortured
出席,attended
アカウント,accounts
団体,bodies
制服,uniform
権利,Rights
計画的な,premeditated
虐殺,massacre
暴力,violence
怒り,outrage
厚かましく,brazenly
知られて,known
〜の周りに,around
高騰,surging
主張,claimed
完了,complete
構造,structures
混乱,confused
独立,independence
不当な,unfair
事項,matters
予期する,expect
持ってきた,brought
比較的,relatively
ジュニア,junior
緊張,tensions
到着,arriving
〜以内で,within
秘密,secret
傭兵,mercenaries
被告人,accused
リクルート,recruiting
民族,ethnic
民兵組織,militias
症状,manifestation
明白な,obvious
メジャー,majors
含まれています,contains
理論,theory
上回っている,outrank
潜在的に,potentially
危険な,dangerous
グループ,group
国,country
ターン,turn
関係なく,irrespective
信じる,believe
それ以来,since
支配,dominate
管理,administration
処罰,impunity
ファブリック,Fabric
そこに,there
たくさんの,much
運行,travel
船団,convoys
大きく,heavily
権力,power
小さい,little
不安定な,erratic
屈辱,humiliation
〜の下に,under
ストーリー,Story
目撃者,Eyewitness
民間人,civilian
辞任,resigned
距離,distance
自分自身,themselves
橋,bridge
試み,Attempts
単に,simply
要求,demanded
アフリカ,African
同様に,also
奇妙なことに,Strangely
任命,appointed
交渉,negotiator
その後、,subsequently
後で,later
コンパオレ,Compaore
大臣,minister
裁判官,judge
アシスト,assisted
弁護士,lawyer
事務局,secretariat
人間,human
傘,umbrella
にんじょうざた,bloodbath
〜になる,become
〜しなければならない,must
エンベロープ,enveloped
20年,decades
意図,intend
が起こった,happened
真実,truth
何,what
保護,protecting
〜について,about
証言,testify
になる,becomes
その他の,other
お問い合わせ,enquiry
ブロック,blocked
実り,fruitful
道,avenues
本社,headquarters
強い,strong
墓,graves
うわさ,rumours
ソース,sources
経験豊富な,experienced
恒久的な,permanent
インスタンス,instance
儀式,Ceremonies
周年記念,anniversary
シリーズ,series
壊滅的な,devastating
攻撃,attacks
過激派,militants
パレード,parade
就任,inauguration
記念碑,memorial
攻撃者,attacker
11月,November
マホメット,Muhammed
武装勢力,gunmen
ほぼ,nearly
続き,lasted
唯一の,only
存続,surviving
現在のところ,currently
接続,connection
7,seven
首謀者,mastermind
過激派,militant
のとれた,ordinated
鉄道,railway
駅,station
コミュニティ,community
集会,vigils
ターゲット,targeted
横顔,profile
計画,planned
信頼,faith
シナゴーグ,synagogue
ろうそく,candles
被害者,victims
ユダヤ人,Jewish
妊娠,pregnant
救済,relief
を解決する,resolve
恐ろしい,horrific
思い出,memories
継続,continue
十,Dozens
スローガン,slogans
南部,southern
集中,concentrated
忘れて,forgotten
リハーサル,rehearsed
カモフラージュ,camouflaged
装甲,armoured
車,vehicles
批判,criticised
を示す,demonstrate
改善,improvements
テロ,terrorism
特攻隊,commando
改革,reform
祈り,prayer
記念碑,monument
容疑者,suspects
発表,announcement
謎,mystery
キャセイパシフィック航空,Cathay
太平洋,Pacific
便,flights
不定期,unscheduled
ムンバイ,Mumbai
エアバス,Airbus
艦隊,fleet
相次ぐ,spate
閉塞,blockages
深刻な,serious
トイレ,toilets
搭乗券,boarding
制限,restricted
エンジニア,engineers
広報,spokeswoman
薬,medicine
ボトル,bottles
タオル,towels
乗客,passengers
真空,vacuum
無駄に使う,waste
タンク,tank
空,emptied
閉塞,blockage
普通は,usually
に影響を与える,affects
航空機,aircraft
人質,captors
オーストラリア,Australian
カナダ,Canadian
ソマリア,Somalia
ジャーナリスト,journalists
誘拐,kidnapped
誘拐犯,kidnappers
身代金,ransom
〜なしで,without
効果的な,effective
頻繁に,frequently
押収,seized
様々な,variety
住宅,houses
飼育,captivity
アウトレット,outlets
試練,ordeal
すぐに,quickly
でこぼこの,Rough
を確保,secured
人質,hostages
民兵,militiamen
フリーランス,freelance
ウエスタン,Western
キャプチャ,captured
拷問,torture
希望,would
かわいい,pretty
ピストル,pistol
完全に,completely
剥奪,stripped
すべて,everything
本当に,really
通訳,interpreter
1月,January
外側,outside
スペイン語,Spanish
カメラマン,photographer
分裂,secessionist
抗議,protest
イエメン,Yemen
衝突,clashes
脱退,secession
軍,troops
分散,disperse
省,province
修復,restoration
最近の,recent
給油,fuelling
懸案事項,concern
貧困,impoverished
激化,intensifying
近隣の,neighbouring
撤退,withdrawal
文句を言う,complain
Marginalises,marginalises
報道,reportedly
マルクス主義,Marxist
強調表示,highlighting
野党,opposition
メンバー,member
囲まれて,surrounded
関連付けられて,Associated
プレス,Press
逮捕された,arrested
脱退,secede
破棄,quashed
統一,unification
差別,discriminates
エディタ,editors
自発的に,voluntarily
改正,amend
更新する,update
オンライン,Online
百科事典,encyclopaedia
ボランティア,volunteer
大学,University
提案,suggests
奨励,encourages
社説,editorial
皆,everybody
章,chapter
組織,organisation
苦しんで,struggling
寄稿者,contributors
従事する,engage
知識,knowledgeable
美術館,museums
苦しみ,suffering
たくさんの,plenty
思考,thoughts
間違いなく,definitely
永遠に,forever
インタビュー,interview
下向き,downward
継続,continued
呪文,spell
負,negative
維持,maintained
問題,problematic
人種差別主義者,racist
謝罪,apologised
人種差別,racially
不快な,offensive
去勢,doctored
警告,warning
探す,Search
拒否,refused
勝つ,prevail
インターネット,internet
ポリシング,policed
密,tightly
説明,explanation
時々,Sometimes
妨害,disturbing
内容,content
無害,innocuous
保証,assure
表現,expressed
承認,endorsed
反射,reflection
依存している,relies
を計算する,calculate
妥当性,relevance
信念,beliefs
優先,preferences
ご意見,opinions
影響を与える,impact
市民,citizens
定期的に,periodically
調整,adjust
準備,reserves
リクエスト,requests
個別,individually
整合性,integrity
重要な,important
それに応じて,Accordingly
不人気,unpopular
受信,receive
違反,violates
ガイドライン,Guidelines
謝罪,apologize
動揺,upsetting
経験,experience
理解する,understand
〜に関して,regarding
人間,Humans
触覚,Tactile
感覚,sensations
スピーチ,speech
聞き取れない,inaudible
パフ,puffs
配信,delivered
一緒に,alongside
影響を受ける,influenced
参加者,participants
特定の,certain
ジャーナル,journal
視覚,visual
強化する,enhance
干渉,interfere
観察,observed
日常,everyday
会話,conversation
最新情報,latest
コロンビア,Columbia
バンクーバー,Vancouver
同行,accompanied
息,breath
無気音の,unaspirated
吸気,aspirated
同等,equivalents
パフ,puff
感覚,sensory
解読,decipher
知識,knowledge
クイック,Quick
提供する,provide
概要,overview
指示,instructions
ガイド,guide
準備,Prepare
ハードウェア,hardware
正しい,correct
スターター,starter
パッケージ,package
場所,location
プラグイン,Plugin
リモート,remote
インストール,install
プラットフォーム,platforms
含まれて,included
最低,lowest
ダウンロード,Downloadable
コンポーネント,Components
ディレクトリ,directory
実行,execute
外部,external
プロジェクト,project
プロジェクト,project
提案,suggestions
開始する,begin
ようこそ,Welcome
リーダー,leader
カトリック,Catholic
教会,Church
恥ずかしい,ashamed
普及,widespread
性的,sexual
虐待,abuse
子供たち,children
聖職者,priests
枢機卿,Cardinal
カバー,covered
ダブリン,Dublin
明らかに,revealed
体系,systematic
アイルランド語,Irish
評判,reputation
福祉,welfare
教区,Archdiocese
教区,parish
促進,facilitated
謝罪,apology
に準拠,comply
完全に,fully
義務,obligations
犯罪,crime
悲しみ,Sorrow
恥,shame
歴史,historical
社会,societal
Apologises,apologises
予約,reservation
あいまいな言葉,equivocation
障害,failures
機関,agencies
有罪判決,convicted
暴行,assaults
誓った,vowed
正義,justice
かかわらず,regardless
量,amount
エコー,echoed
大司教,Archbishop
遺族,survivor
大司教,archbishops
送金,remit
警察,police
待ち伏せ,ambush
コーヒー,coffee
ワシントン,Washington
犯人,gunman
風致地区,Parkland
と考えられ,believed
強盗,robbery
郡,County
シアトル,Seattle
ピアース,Pierce
ノートパソコン,laptops
日曜日,Sunday
計算,calculated
朝,morning
平らな,flat
従業員,employees
被疑者,suspect
黒,black
だらしない,scruffy
を含む,involving
ヘリコプター,helicopters
大規模な,massive
捜索,manhunt
逮捕,arrest
核,nuclear
インド,India
リーク,leak
調査,investigating
放射性物質,radioactive
物質,substance
原子,atomic
治療,treatment
露出,exposure
放射線,radiation
トリチウム,tritium
汚染された,contaminated
故意に,deliberate
いたずら,Mischief
調査,Investigations
職務,duties
事件,incident
影響を受ける,affected
安全性,safety
健康,health
核融合,fusion
原子炉,reactors
中性子,neutron
ジェネレータ,generators
を促す,urging
意識,awareness
キャンペーン,campaign
避妊,contraception
開始,launched
公然と,openly
10代,teenage
妊娠,pregnancy
最高,highest
態度,attitudes
〜の方へ,towards
恥ずかしい,embarrassed
専門家,professionals
主張,argue
調査,survey
パートナー,partners
特徴,feature
スニペット,snippets
会話,conversations
シナリオ,scenarios
中心部,centre
テレビ,television
タブー,Taboo
主題,subject
概念,conceptions
性的,sexually
性的,sexually
送信,transmitted
感染症,infections
クラミジア,chlamydia
誤報,misinformation
殺精子剤,spermicide
横隔膜,Diaphragm
コンドーム,condom
殺菌,sterilisation
インプラント,Implant
子宮,Intrauterine
自然,Natural
家族,family
精管切除術,vasectomy
ぎこちない,awkward
ライフスタイル,lifestyle
強制,compulsory
教育,education
10代の若者,teenagers
重要な,vital
トレンド,trend
広げる,spread
関係,Relationship
快適な,comfortable
配信,deliver
現実,realities
正常化,Normalising
保護,protection
尊重する,respect
異なる,different
救助隊,Rescuers
転覆,capsized
フェリー,ferry
打た,pelted
溺死,drowned
過密,overcrowded
部分的に,partially
サルベージ,salvage
祭り,festival
ターミナル,terminal
生存者,survivors
キャビン,cabins
簡潔に,briefly
深夜,midnight
ロイター,Reuters
容器,vessel
高齢化,ageing
平面,plane
乗組員,crew
墜落,crashed
土曜日,Saturday
負傷,injuring
去る,leave
ジンバブエ,Zimbabwe
事故,accident
登録,registered
施設,facility
保存,storage
脚注,footnote
生産,production
大ざっぱな,sketchy
打診,sounded
傭兵,mercenary
富裕層,wealthy
投げ,tossed
文字通り,literally
フィリピン,Philippines
強力な,powerful
藩,clan
殺人事件,murders
検察,prosecutors
市長,mayor
無法な,lawless
降伏,surrendered
拒否,denied
関与,involvement
指名,nomination
論文,papers
候補者,candidate
知事,gubernatorial
選挙,elections
弁護士,lawyers
ダンプ,dumped
浅い,shallow
再開,reopened
フォーマル,Formal
対立が,wrangles
紛争,dispute
告発,accusation
特に,notably
国,nations
突入,stormed
バリケード,barricades
怒り,angered
制限,restrictions
氷河,glacial
ランプ,ramps
大幅に,significantly
遅延,delayed
総称,collectively
コミット,commit
闘う,combating
エチオピア,Ethiopia
代わって,behalf
支持する,endorses
最大,maximum
温度,temperature
支払う,payable
指導者,leaders
成功,successful
排出量,emission
決定,determined
国,countries
経済,economic
地域,regional
合法的に,legally
断固として,adamantly
ノルウェー,Norway
包括的な,comprehensive
森林伐採,deforestation
結果,outcome
コンテキスト,context
コンポーネント,component
メリット,benefit
携帯電話,mobile
轟音,rumbling
遠い,distant
雷,thunder
美しさ,beauty
コンテスト,contest
ブースト,boost
自尊心,esteem
大声で,louder
必死,frantic
ガード,guard
護衛艦,escorts
迷路,maze
廊下,corridors
刑務所,prison
Bangu,Bangu
刑務所,penitentiary
複雑な,complex
悪名高い,notorious
暴動,riots
瞬間,moment
真っ直ぐな,straight
中庭,courtyard
受刑者,inmates
ハンマリング,hammering
インストラクター,Instructors
明るい,bright
野球,baseball
分割,splitting
ホイッスル,whistles
コマンド,commands
スティック,drumsticks
パーカッション,percussion
勾留,detention
刑務所,prisons
囚人,prisoners
カポエイラ,capoeira
レッスン,lessons
センター,centres
文化,cultural
反乱,rebellion
拘留,remand
コンサート,concert
選挙運動,campaigning
集団,collective
運動,movement
貧民街,favela
シャンティ,shanty
ドラマー,drummers
漂白,bleached
金髪,blonde
オッズ,odds
まぶしい,dazzling
笑み,smile
ドラム,drum
怒り,anger
火曜日,Tuesdays
ワークショップ,workshops
ハイライト,highlight
引き付ける,attract
破壊,disruptive
孤独,solitary
監禁,confinement
エアロゾル,aerosol
缶,cans
落書き,graffiti
誰も,nobody
征服,Conquer
社交,Socialise
鮮やかな,brightly
色,coloured
人気,popular
一方、,Meanwhile
国歌,anthems
提示,presented
知事,governor
チームワーク,teamwork
苦境,plight
容量,capacity
4倍,quadrupled
条件,conditions
悪化,deteriorated
囚人,prisoner
腫れ,swelled
即興,improvised
衛生学,hygiene
換気,ventilation
絞り,squeezed
天井,ceilinged
オーブン,oven
びっしょり,drenched
を超える,exceeds
摂氏,centigrade
我慢,bearable
ギター,guitar
スタッフ,staffed
ボランティア,volunteers
イニシアチブ,initiative
自由,Freedom
式,Expression
確信,convinced
認める,admits
少ない,fewer
観光,tourist
喪失,missing
休日,holiday
希望に満ちた,hopeful
友人,friend
父,father
ポスター,posters
スニファ,sniffer
赤外線,infra
カメラ,cameras
絶対に,absolutely
合計,total
消える,disappear
突然に,suddenly
地元の人々,locals
さまよう,wander
ジーンズ,jeans
ジャンパー,jumper
ジャケット,jacket
両親,parents
設立する,found
更新,updated
望んで,wants
目的,purposes
人々,people
