汉字,词义
命,生命
祈る,祈祷
威張る,趾高气扬
違反,违反
鼾,鼾声
訝しい,可疑
息吹,呼吸
衣服,衣服
違法,违法
居間,起居室
忌々しい,可恶
戒める,训斥
未だに,还
意味,意思
芋,薯的总称
妹,妹妹
嫌,令人厌烦的
嫌がる,讨厌
卑しい,寒碜
癒す,治疗
いよいよ,越发
意欲,干劲
依頼,拜托
以来,那之后
いらいら,情绪急躁
いらっしゃる,在
入り口,入口
要る,需要
居る,有
射る,射
入る,进入
炒る,炒
衣類,衣类
入れる,装
色,色彩
色色,各种各样
色気,魅力
彩る,着色
岩,岩石
祝う,庆祝
言わば,说起来
所謂,所谓的
因果,因果
印刷,印刷
印象,印象
引退,引退
いんちき,骗人
陰謀,阴谋
引用,引用
引力,引力
上,上面
植え付ける,种植物
飢える,饥饿
植える,种
魚,鱼
伺う,打听
窺う,偷窥
浮かぶ,浮上水面
浮かべる,浮
受かる,考上
浮き上がる,飘浮在空中
浮き彫り,浮雕
浮き世,世上
浮く,浮
受け入れる,接受
承る,谨听
受け付ける,受理
受け取る,接
受け身,被动
受ける,获得
動かす,使活动
動く,动
兎,兔
胡散,蹊跷
牛,牛
失う,失去
後ろ,后面
後ろ向き,背身
埋もれる,被埋上
渦巻き,漩涡
薄い,薄的
薄める,弄淡
嘘,谎言
歌う,唱
疑う,猜疑
疑わしい,可疑
家,房屋
内,里面
打ち上げる,发射
打ち合わせる,使碰撞
内側,内侧
宇宙,宇宙
打つ,打
うっかり,迷糊
美しい,美好的
移す,移动
写す，映す,誊写
訴える,控告
鬱陶しい,烦闷
うっとり,出神
うつ伏せる,倒置
俯く,俯首
移る,迁移
写る，映る,映
器,器皿
腕,手腕
うとうと,迷迷糊糊
促す,催促
鰻,鳗鱼
頷く,首肯
項垂れる,低头
唸る,吼
自惚れる,自负
うねる,蜿蜒起伏
奪う,抢夺
馬,马
旨い,美味的
旨味,美味
埋まる,埋着
生まれる,出生
海,海岸
膿,脓
生み出す,生
生む，産む,生
有無,有无
梅,梅花
埋める,埋入
恭しい,彬彬有礼
敬う,尊敬
浦,海滨
裏,里面
裏切る,不守信条
占う,占卜
恨む,怨恨
羨ましい,羡慕
麗らか,和煦
売り切れる,卖光
売り込む,推销
売り出す,开始出售
売る,卖
潤う,湿润
煩い，五月蝿い,吵闹
漆,漆
潤む,湿润
麗しい,美丽
憂い,担心
嬉しい,高兴
売れ行き,销售情况
うろうろ,徘徊
浮気,见异思迁
噂,闲谈
上滑り,表面光滑
上手,强手
運,运气
運営,运作
うんざり,厌烦
運送,运送
運転,驾驶
運動,运动
運命,命运
運輸,运输
運用,运用
永遠,永远
映画,电影
永久,永久
影響,影响
営業,营业
英語,英语
栄光,光荣
衛生,卫生
衛星,卫星
映像,影像
英雄,英雄
栄誉,荣誉
栄養,营养
営利,盈利
笑顔,笑脸
描く,画
駅,车站
液体,液体
笑窪,酒窝
抉る,挖
えこ,偏袒
餌,饲料
枝,枝
得体,本来面目
閲覧,阅览
江戸,江户
笑み,笑脸
獲物,猎获物
偉い,杰出
選ぶ,挑选
襟,衣襟
選り好み,挑剔
得る,得到
円,圆形
縁,缘分
延延,没完没了
円滑,圆滑
縁起,事物
演技,演技
婉曲,委婉
演劇,演剧
援護,支援
演習,演练
演出,导演
援助,支援
炎症,炎症
演じる,上演
沿線,沿线
演説,演说
演奏,演奏
縁談,亲事
延長,延长
鉛筆,铅笔
円満,完满
遠慮,远虑
老い,老年
追いかける,追赶
追い越す,赶超
追い込む,赶进
美味しい,味美
追い出す,赶出某地
生い立ち,成长
追い立てる,驱赶
追い詰める,追猎物
追い払う,驱赶
追う,追赶犯人
負う,背负
応援,支持
応急,应急
往生,往生
応じる,回答
応接,接待
応対,接待
横断,横穿
横着,脸皮厚
応答,应答
往復,往返
欧米,欧美
応募,应聘
横暴,蛮横
応用,应用
往来,往来
終える,完成
多い,数量多
覆う,蒙上
大方,大体
大型,大型
大きい,大的
大きな,大的
大げさ,夸大
大ざっぱ,粗略
大勢,人数多
大まか,大大咧咧
大晦日,除夕
概ね,基本上
大家,房东
公,公家
丘,丘陵
可笑しい,可笑的
侵す,侵犯
犯す,犯法
冒す,冒着危险
拝む,礼拜
補う,弥补
起きる,起床
奥,里头
億,亿
置く,摆
憶測,臆测
奥の手,绝招
臆病,胆怯
臆面,腼腆
奥行き,进深
送る,邮寄
贈る,赠送
遅れる,迟到
起こす，興す,扶起
厳か,庄严
怠る,懒惰
行う,做
起る,发生
興る,繁荣
怒る,生气
奢る,奢侈
押さえる,压
抑える,抑制
幼い,幼小的
治まる,变得安定
収まる,收纳
納まる,缴纳
修まる,端正
治める,平定
収める,收录
納める,接受
修める,掌握学问
惜しい,珍惜
お爺さん,爷爷
教える,教
お辞儀,敬礼
押し切る,坚持到底
押しつける,压上
惜しむ,珍惜
おしゃべり,闲聊
お洒落,好打扮
押す，推す，捺す,推
雄,雄性
お世辞,恭维
汚染,污染
遅い,速度慢
襲う,袭击
恐れ入る,不好意思
恐れる,害怕
恐ろしい,可怕的
教わる,受教
煽てる,挑唆
穏やか,平静
陥る,落入
落ち込む,掉进
落ち着く,镇静
落ち度,过失
落ち目,败运
お茶,茶
落ちる,落下
億劫,嫌麻烦
おっきゃる,说
夫,丈夫
音,
弟,弟弟
おどおど,心虚
脅かす,威胁
男,男性
陥れる,使……陷入
落とす,投下
脅す,威胁
訪れる,拜访
一昨日,前天
一昨年,前年
大人,成人
大人しい,老实
劣る,劣
踊る,跳舞
躍る,跳跃
衰える,衰退
驚く,惊讶
同じ,反正
鬼,鬼怪
斧,斧子
各々,各自
自ずから,自然而热地
お婆さん,奶奶
お化け,妖怪
十八番,拿手好戏
帯,衣带
夥しい,很多的
帯びる,佩带
覚える,记忆
覚束ない,靠不住的
溺れる,溺水
主,主要的
重い,重的
思い切り,尽情
思い付き,想法
思い詰める,钻牛角尖
思い出,追忆
思いやる,同情
思う,考虑
面白い,有趣的
玩具,玩具
表,正面
趣,趣味
赴く,奔赴
重んじる,重视
親,父母
親子,父母和子女
泳ぐ,游泳
凡そ,大体上
及び,以及
及ぶ,达到
及ぼす,影响到
折,时机
折り返す,折起
織り込む,织入
降りる,下来
下りる,降下
折る,折
折れる,折叠
おろか,不用说
愚か,愚蠢
降ろす,让人下来
下ろす,放下
卸す,批发
疎か,粗心大意
終わる,完
恩,恩情
音楽,音乐
穏健,稳健
温厚,温厚
音声,声音
温泉,温泉
温暖,温暖
音痴,五音不全的人
温度,温度
女,女性
温和,气候温和
貝,贝类
甲斐,效果
害,害
外貨,外国的货币
開会,开会
海外,海外
改革,改革
貝殻,贝壳
快感,快感
海岸,海岸
会議,会议
階級,阶级
海峡,海峡
開業,开业
会計,会计
解決,解决
会見,会见
外見,外表
回顧,回顾
解雇,解雇
介護,照顾病人
会合,集合
外交,外交
外向,外向
外国,外国
開催,举行
改札,检票
解散,解散
開始,开始
会社,公司
解釈,解释
回収,回收
外出,外出
解消,接触
会場,会场
外食,在外吃饭
外人,外人
回数,次数
快晴,天气晴好
改正,改正
解説,解说
開設,开设
改善,改善
階層,阶层
改造,改造
解体,瓦解
開拓,开发土地
階段,楼梯
会談,会谈
改築,改建
懐中,怀里
快調,情况良好
開通,开通
改定,重新修订
外敵,外敌
回転,转
解答,解答
回答,回答
該当,符合
介入,介入
解任,解职
概念,概念
開発,开发
回避,回避
外部,外侧
回復,恢复
開放,打开
快方,病情转好
解放,解放
解剖,解剖
開幕,开幕
外面,外观
買い物,买东西
海洋,海洋
外来,外来
改良,改良
回路,线路
会話,会话
買う,买
飼う,饲养
返す,归还
かえって,反而
顧みる，省みる,回头看
蛙,青蛙
返る,复原
帰る,回来死
代える,代替
換える,交换
替える,替换
変える,改变
顔,脸
顔なじみ,面熟
香る，薫る,飘香
抱える,用手抱
科学,科学
化学,化学
掲げる,高举
鏡,镜子
鑑,榜样
屈む,弯腰
輝く,闪烁
掛かる,悬
拘わらず,尽管
関る,有关
牡蠣,牡蛎
柿,柿子
鍵,钥匙
掻き立てる,用力搅拌
掻き回す,混合
限る,限制
欠く,打坏
書く,写
掻く,抓
嗅ぐ,闻
家具,家具
架空,空中架设
格言,格言
覚悟,有心理准备
格差,差距
拡散,液体
学識,学识
確実,确实
学者,学者
拡充,扩充
学習,学习
学術,学术
確信,确信
革新,革新
隠す,掩盖
学生,学生
拡大,扩大
各地,各地
拡張,扩张
格調,格调
確定,确定
角度,角度
格闘,格斗
獲得,获得
確認,确认
学年,学年
学費,学费
格別,格外
確保,确保
革命,革命
学問,学问
確率,概率
学力,学力
学歴,学历
隠れる,隐藏
影,光
家計,家庭经济状况
過激,过激
欠ける,缺损
掛ける,垂下
賭ける,赌
駆ける,跑
加減,加法和减法
過去,过去
加工,加工
託ける,借口
囲む,围绕
傘,伞
火災,火灾
重なる,重叠
重ねる,摞起
風向き,风向
飾る,装饰
菓子,点心
舵,舵
家事,家务事
火事,火灾
傾げる,歪斜
賢い,聪明
畏まる,恭敬
過失,过失
貸家,出租的房子
歌手,歌手
過剰,过剩
頭,头
貸す,借款
数,数目
微か,隐隐约约
霞む,笼罩着云霭
掠める,掠夺
風,风
風邪,感冒
化石,化石
稼ぐ,做工赚钱
仮説,假说
仮設,假定
架設,安装
下線,下划线
河川,河流
数える,数数
家族,家族
肩,肩膀
形,形状
方,方位
固い,坚硬的
硬い,坚硬的
堅い,坚实的
課題,课题
かたがた,顺便
敵，仇,竞争对手
形,形状
片付ける,收拾
刀,刀
固まる,凝固
傾く,倾斜
固める,使坚固
偏る，片寄る,偏重
語る,谈
傍ら,旁边
価値,价值
家畜,家畜
勝つ,得胜
且つ,而且
学科,学科
がっかり,失望的样子
活気,活力
楽器,乐器
学期,学期
画期的,划时代的
担ぐ,担负
括弧,括号
格好,外形
学校,学校
活字,铅字
合唱,合唱
合戦,对打
かつて,曾经
勝手,厨房
活動,活动
活発,活跃
合併,合并
活躍,活跃
活用,活用
糧,干粮
過程,过程
家庭,家庭
仮定,假定
家内,家中
叶う,实现
適う,合乎
悲しい,悲伤的
悲しむ,悲伤
要,扇轴
必ず,一定
必ずしも,未必
かなり,很
金,金属
鐘,钟
兼ねる,兼有
可能,可能
彼女,她
庇う,庇护
鞄,包
黴,霉
株,树墩
被せる,盖上
被る,盖
花粉,花粉
壁,墙
貨幣,货币
過保護,溺爱
釜,锅
構う,介意
構える,整修
鎌倉,镰仓
がましい,接近于
我慢,忍耐
上,开头
神,神
紙,纸
髪,头发
神様,神
過密,过密
噛み付く,咬住
雷,雷
噛む,咬
亀,龟
仮面,假面
科目,项目
貨物,货物
粥,粥
痒い,痒
通う,上班
空,空的
殻,皮儿
柄,样子
辛い,辣的
からかう,嘲笑
烏，鴉,乌鸦
体,身体
空手,空手
絡まる,缠绕
絡む,缠绕
仮に,临时
借りる,借钱
刈る,割
駆る,驾驶
軽い,轻的
彼,他
枯れる,枯萎
過労,劳累过度
辛うじて,好不容易
川，河,河
皮　革,皮
側,一侧
可愛い,可爱的
可哀相,可怜的
渇く,渴
乾く,干
交わす,交换
瓦,瓦
代わる,代替
変わる,变化
缶,筒
癌,癌
感化,感化
考える,思考
間隔,间隔
感覚,感觉
観客,观众
環境,环境
玩具,玩具
関係,关系
歓迎,欢迎
感激,感激
簡潔,间接
還元,还原
漢語,汉语词汇
看護,看护
頑固,顽固
観光,观光
刊行,出版
関西,关西
観察,观察
監視,监视
感じ,感觉
漢字,汉字
幹事,干事
元日,元旦
感謝,感谢
慣習,习惯
観衆,观众
願書,申请书
鑑賞,鉴赏
干渉,干预
感傷,伤感
感情,感情
勘定,计算
感触,感觉
感じる,感觉
関心,关心
感心,佩服
肝心,首要
関する,关于
完成,完成
歓声,欢声
岩石,岩石
間接,间接
関節,关节
感染,感染
幹線,干线
完全,完全
乾燥,干燥
感想,感想
観測,观察
簡単,简单
元旦,元旦
勘違い,误解
官庁,政府机关
缶詰,罐头
観点,观点
感電,触电
関東,关东
感動,感动
監督,监督
堪忍,容忍
観念,观念
元年,元年
官能,器官的机能
乾杯,干杯
芳しい,芳香
頑張る,努力
看板,招牌
完備,完备
看病,看护
幹部,干部
簡便,简单
勘弁,宽恕
願望,愿望
冠,冠
感銘,感动
喚問,传唤
勧誘,劝诱
慣用,惯用
元来,原来
管理,管理
簡略,简略
完了,完成
官僚,官僚
慣例,惯例
還暦,花甲
関連,关联
緩和,缓和
気合,全神贯注
黄色,黄色
議員,议员
機運,时机
気運,趋势
消える,火熄灭
記憶,记忆
気温,气温
機会,机会
機械,机械
議会,议会
着替え,换衣服
規格,规格
企画,计划
利かせる,生效
聞かせる,使听
気兼ね,多心
機関,机关
期間,期间
器官,器官
気管,气管
危機,危机
聞き苦しい,听不清楚
聞きつける,听到
効き目,效用
企業,企业
戯曲,戏曲
聞き分ける,听辨出来
飢饉,饥馑
基金,基金
利く,有效
効く,有效
聞く，聴く,听
喜劇,喜剧
危険,危险
棄権,弃权
紀元,纪元
起源,起源
期限,期限
機嫌,安泰
気候,气候
機構,机构
記号,记号
技巧,技巧
聞こえる,听得见
刻む,切碎肉
兆し,兆头
岸,岸
生地,布料
記事,上的报道
技師,技师
義歯,假牙
儀式,仪式
気質,气质
期日,日期
記者,记者
汽車,火车
記述,记述
技術,记述
基準,基准
気性,性情
気象,气象
傷,伤
築く,修筑
絆,栓东西的绳索
期する,决定期限
帰する,归结
既製,做好的
規制,规定
犠牲,牺牲
奇跡,奇迹
軌跡,轨迹
季節,季节
着せる,给……穿上
基礎,基础
起訴,起诉
競う,竞争
規則,规则
北,北
気体,气体
期待,期待
鍛える,锻
来す,招致
気立て,气质
汚い,脏的
来る,下一个
基地,基地
貴重,贵重
きちんと,干警
きつい,严厉
切っ掛け,起首
気づく,注意到
ぎっしり,挤得满满地
切手,邮票
きっと,一定
狐,狐狸
切符,票
規定,规定
軌道,天体运行的轨道
危篤,病笃
記入,写入
絹,丝绸
記念,纪念
昨日,昨天
機能,机能
気の毒,可怜的
気迫,气概
希薄,稀薄
奇抜,奇特的
基盤,基础
厳しい,严格的
寄付,捐助
気風,风气
気分,心情
規模,规模
希望,希望
基本,基本
気まぐれ,一时兴起
決まる,决定
君,用于同辈或晚辈的第二人称
気味,心情
義務,义务
決める,决定
肝,肝
気持ち,感情
着物,衣服
疑問,疑问
客,客人
逆,正相反
脚色,改写成脚本
逆説,逆说
虐待,虐待
逆転,逆转
脚本,台本
客観,客观
休暇,休假
救急,急救
窮屈,狭小
休憩,休息
急激,急剧
急行,走得快
休講,停课
休止,休止
休日,休息日
吸収,吸取
急所,致命处
救助,救助
急進,快速向前
旧跡,古迹
急増,急剧增长
急速,休息
及第,及第
窮地,窘境
急場,危急
急病,疾病
給与,发给
休養,修养
給料,报酬
清い,不混浊
今日,今天
器用,灵活
脅威,威胁
教育,教育
強化,强化
境界,地界
協会,协会
教会,教会
教科書,教科书
共感,同感
競技,比赛
協議,协议
行儀,礼貌
供給,供应
境遇,处境
教訓,教训
狂言,狂言
恐慌,恐慌
強行,强行
教材,教材
教師,教师
行事,仪式
教授,传授
恐縮,对不起
強制,强制
行政,行政
業績,成果
競争,竞争
競走,赛跑
兄弟,兄弟
境地,境地
強調,强调
協調,协调
共通,共通
郷土,乡土
共同,共同
脅迫,威胁
恐怖,恐怖
興味,兴趣
業務,业务
共鳴,共鸣
教養,教养
郷里,家乡
協力,协作
行列,游行队伍
虚栄,虚荣
許可,许可
曲,乐曲
曲芸,杂技
曲折,曲折
曲線,曲线
極端,极限
巨人,高个头
御する,驾驭
拒絶,拒绝
拠点,据点
去年,去年
拒否,谢绝
虚無,虚无
清らか,清洁
距離,距离
嫌い,不喜欢
嫌う,憎恶
きらきら,闪烁
霧,雾
義理,道理
切り下げる,降低
切り捨てる,切除
規律,规则
切り開く,切开
器量,脸面
気力,毅力
切る,切
着る,穿
綺麗,美丽
切れる,被切断
記録,记录
議論,议论
際立つ,显眼
極まる，窮まる,极限
禁煙,禁烟
金額,金额
近眼,近视
緊急,紧急
近況,近况
金庫,保险库
均衡,均衡
近郊,近郊
銀行,银行
禁止,禁止
近所,附近
禁じる,禁止
金属,金属
近代,近代
緊張,身心紧张
均等,均等
筋肉,肌肉
金箔,金箔
緊迫,紧迫
勤勉,勤奋
緊密,紧密
勤務,上班
禁物,禁止的事情
金融,金融
具合,健康状态
食い込む,勒进去
食い違う,相互不同
食い付く,鱼上钩
悔いる,后悔
食う,生活
空間,空间
空気,大气
空虚,空虚
空襲,空袭
空席,空位
偶然,偶然
空想,空想
空白,纸面的空栏
区画,区划
苦学,苦读
区間,公路
釘,钉子
苦境,困境
区切る,打标点符号
括る,捆在一起
潜る,从下面穿过
草,草
臭い,臭
鎖,链子
腐る,腐败
挫く,扭伤
挫ける,扭伤
籤引き,抽签
くしゃくしゃ,乱蓬蓬
くしゃみ,打喷嚏
苦情,提意见
苦心,苦心
屑,废物
愚図愚図,慢手慢脚的样子
崩す,敲坏
薬,药
崩れる,崩溃
癖,癖性
管,管子
具体,具体
砕く,弄碎
砕ける,破碎
下さい,请给我……
下さる,“くれる”的尊敬语
下す,赐予
草臥れる,疲劳
果物,水果
下らない,没有价值
下る,往低处移动
口,人或是动物的嘴
愚痴,牢骚
口先,嘴边
口出し,插嘴
嘴,鸟嘴
唇,嘴唇
口調,语调
靴,鞋
苦痛,痛苦
覆す,打翻
くっきり,清楚
屈する,屈服
屈折,弯曲
ぐったり,筋疲力尽
寛ぐ,舒适
くどい,话多
国,国家
苦悩,苦恼
配る,分配
首,颈部
工夫,想方设法
区別,差异
窪む,掉落
熊,熊
組合,合作社
組み合わせ,一套
組み立てる,组装
汲み取る,舀
汲む,舀起液体
酌む,倒入
組む,组装
雲,云
蜘蛛,蜘蛛
曇る,天空多云
悔しい,后悔
悔やむ,后悔
くよくよ,气量小
倉，蔵,仓库
位,大致的数量
暗い,昏暗
暮らす,生活
比べる，較べる,比较
晦ます，暗ます,隐藏
繰り上げる,提前
繰り返す,反反复复
繰り下げる,延期
来る,来
狂う,心态失常
苦しい,痛苦
苦しむ,痛苦
車,车轮
包む,裹
くれぐれ,恳切地
暮れる,天晚
呉れる,别人给自己
黒,黑色
黒い,黑的
苦労,费周折
玄人,内行
加える,加算
詳しい,详细的
食わせる,喂
企てる,计划
加わる,增加
軍事,军事
訓読み,训读
訓練,训练
毛,毛
経緯,经纬
敬意,敬意
経営,经营
敬遠,敬而远之
経過,经历
警戒,警戒
軽快,轻快的
計画,计划
景気,经济状况
契機,契机
経験,经验
稽古,手艺
敬語,用于表示敬意的语言
傾向,倾向
警告,警告
掲載,刊登
経済,经济
警察,警察
計算,计算
掲示,公布
形式,样式
傾斜,倾斜
芸術,艺术
敬称,敬称
継承,继承
形勢,形式
形成,形成
継続,继续
軽率,轻率
携帯,携带
系統,系统
傾倒,致力
芸能,在学问
軽薄,轻且薄
刑罰,制裁
経費,经费
軽蔑,轻蔑
刑務所,监狱
契約,契约
経由,经由
形容詞,形容词
形容動詞,形容动词
経理,财会业务
計略,计略
痙攣,痉挛
経路,路途
怪我,受伤
汚す,弄脏
汚れる,变脏
劇,话剧
劇場,剧场
激励,激励
景色,景色
下宿,寄宿
化粧,化妆
消す,灭火
下水,下水
削る,刀削
桁,建筑物
下駄,木屐
けたたましい,尖锐的
けち,小气
血圧,血压
決意,坚定自己的想法
血液,血液
結果,结果
欠陥,不完全之处
血管,血管
決議,决议
月給,月工资
結局,结局
結構,构造
決行,坚决执行
血行,血液循环
月光,月光
結婚,结婚
傑作,杰作
決して,决不
月謝,学费
決勝,决胜
結晶,结晶
決心,决心
決する,决定
欠席,缺席
決戦,决战
結束,捆扎
決断,下定决心
決定,决定
欠点,缺点
蹴っ飛ばす,踢出
月賦,分月付款
欠乏,缺乏
結末,结尾
結論,结论
貶す,诽谤
解熱,退烧
懸念,担心
気配,迹象
仮病,假病
下品,低级趣味
煙い,呛人
煙,烟
獣,野兽
